ja,en
……約束、守ってくれてありがとね\r\nまた次もよろしくですよー,"...Thanks for keeping your promise.
I'll be counting on you next time."
ひどいよプロデューサーっ……！\r\n私との約束、忘れちゃうなんてっ……！,"You're such a jerk, Producer...!
I can't believe you'd break your promise...!"
……なーんちゃってぇ、ビックリした？\r\nＰ氏も人間だもんね、またスケジュール調整お願いします！,"...Juuust kidding, did I scare you? You're only human,
I get it. Just, please remember to adjust my
schedule next time!"
いやー、最近の三峰、すごい頑張ってるなー\r\nそんなことをみんなが言ってくれてる気がするなー,"Oh maaan～ That Mitsumine's really been giving it her
all recently! Everyone's been saying as much, I'm
pretty sure."
働き者な三峰にお休みをください……\r\nできたら今週がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, this week would
be great..."
いやー、いいお休みだったよー！\r\nゆっくりしっかり堪能させていただきましたっ,"Whew, what a relaxing break!
I had my fill of lazing around for a while."
こっからは、心機一転リフレッシュした三峰で頑張るね\r\n改めてよろしくー！,"Now that she's good and refreshed, Mitsumine's
gonna keep giving her all. I hope you're ready!"
三峰をこんなに働かせるなんて\r\nプロデューサーも悪いお人だなぁ……,"Making Mitsumine work so long without a break
reflects very poorly on your character, Producer."
……あんまり約束スルーされちゃうと、\r\nさすがの三峰もご機嫌ナナメにはなりますからね,"...If you keep ignoring Mitsumine's promises like this,
she's going to be extremely grouchy."
ということで、プロデューサー？\r\n一週間後にボーカルレッスンを入れて欲しいなー？,"So anyway, Producer!
Will you let me do a vocal lesson one week from now?"
一週間後にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,"Sooo, maybe you could schedule a dance lesson
one week from now? ...How about it?"
そんなわけなので、プロデューサーにお願いです！\r\n……一週間後にビジュアルレッスンを入れてほしいなっ,"So I have a request for you, Producer!
...I'd like it if you could schedule a visual lesson for
me a week from now."
働き者な三峰にお休みをください……\r\nできたら一週間後がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, a week from now would
be great..."
ということで、プロデューサー？\r\n二週間後にボーカルレッスンを入れて欲しいなー？,"So anyway, Producer!
Will you let me do a vocal lesson two weeks from now?"
二週間後にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,"Sooo, maybe you could schedule a dance lesson two
weeks from now? ...How about it?"
そんなわけなので、プロデューサーにお願いです！\r\n……二週間後にビジュアルレッスンを入れてほしいなっ,"So I have a request for you, Producer!
...I'd like it if you could schedule a visual lesson for
me two weeks from now."
働き者な三峰にお休みをください……\r\nできたら二週間後がいいなぁ、なーんて……,"Please let poor hard-working Mitsumine have some
time off... If it works for you, two weeks from now
would be great..."
え、と……わたし、もっと大きな声を出さないと\r\nいけないですよね……,"U-Uhm... I want to have a louder voice, but I can't..."
ボ、ボーカルレッスンを……\r\n今週……希望……したいです……！,M-My wish... is for a vocal lesson... this week...!
プロデューサーさん……\r\nお、お手数をおかけします……！,Producer-san... S-Sorry for the trouble...!
そ、そうですよね……\r\nお騒がせして……ごめんなさい！,I-I see... it would be bothersome... sorry!
あー！　あー！,Aah-! Aah-!
ふふ、お腹から……\r\n声が出せるように……なりました……！,"Fufu, I was... able to sing... from my diaphragm...!"
あの……ボーカルレッスンは……,Uhm... the vocal lesson...
いえ、なんでもないです……！\r\nレッスン室のお掃除……しておきますね！,I-It's nothing...! I was just... cleaning the lesson room!
せっかく時間を取ってくださったのに……すみません,Thank you for making this time... sorry.
こ、今度はもっと頑張ります……,I-I'll do my best next time...
ダンス……\r\n知ってるステップが少ないって……言われました……,The dance... I was told... there are a few steps I don't know...
今週、レッスンの予約を……\r\n入れられるでしょうか……？,"This week, would you be able... to reserve the lesson room?"
スロー、スロー、クイック、クイック……,"Slow, Slow, Quick, Quick..."
ジルバ……っていうダンスだそうです\r\n……一緒に……やってみますか……？,"This dance is called... the jitterbug... would you like
to do it... together...?"
……ダンスレッスン……できませんでした……,...the dance lesson... I couldn't...
び、病院の裏庭とかで……\r\n自主練しますから、大丈夫……です……！,"S-Some independent training... in the hospital's
yard... is fine...!"
いつも絆創膏を貼っているので……\r\nお化粧はあまりうまくできないんです……,"Since I'm always putting on bandages...
I'm not very good at applying makeup..."
ビジュアルレッスンっていうのを……受けたいのですが\r\n今週……いいでしょうか……？,I'd like to take... a visual lesson. Is it okay... this week...?
ふふ……お化粧の仕方が少しわかったような気がします,Hehe... I understand using makeup a little bit more now.
ビジュアルレッスンは……な、なかったですね……,T-There was no... visual lesson...
いえ、わ、わたしなんて……\r\nお化粧してもあんまり変わらないですから……！,"No, m-makeup... doesn't change much for me even
if I use it...!"
わわっ、ご、ごめんなさい……！\r\nちょっと足元がふらつきました……,"W-Wahh, s-sorry...! I'm losing my balance a little..."
ご迷惑になるので、今週、お休みをください\r\n……あっ、休むのもご迷惑ですよね……！,"Since it's troublesome, could I please rest this
week... Ah, unless resting is troublesome...!"
お休みを頂けて、\r\n元気に……なりました……！,"I was able to rest, so I'm feeling... healthy...!"
お水をもらった……お花みたいに……！,I got water... like a flower...!
わたし、元気なので……\r\nお、お休みは、大丈夫です……！,"B-Because I'm healthy... a b-break, it's fine...!"
つ、次のお休みまで……頑張ります……！,U-Until my next break... I'll do my best...!
ボ、ボーカルレッスンを……\r\n一週間後……希望……したいです……！,M-My wish... is for a vocal lesson... next week...!
一週間後、レッスンの予約を……\r\n入れられるでしょうか……？,"Next week, would you be able... to reserve the
lesson room?"
ビジュアルレッスンっていうのを……受けたいのですが\r\n一週間後……いいでしょうか……？,I'd like to take... a visual lesson. Is it okay... next week...?
ご迷惑になるので、一週間後、お休みをください\r\n……あっ、休むのもご迷惑ですよね……！,"Since it's troublesome, could I please rest next
week... ah, unless resting is troublesome...!"
ボ、ボーカルレッスンを……\r\n二週間後……希望……したいです……！,M-My wish... is for a vocal lesson... in two weeks...!
二週間後、レッスンの予約を……\r\n入れられるでしょうか……？,"In two weeks, would you be able... to reserve the lesson room?"
ビジュアルレッスンっていうのを……受けたいのですが\r\n二週間後……いいでしょうか……？,I'd like to take... a visual lesson. Is it okay... in two weeks...?
ご迷惑になるので、二週間後、お休みをください\r\n……あっ、休むのもご迷惑ですよね……！,"Since it's troublesome, could I please rest in two
weeks... ah, unless resting is troublesome...!"
あたし、みんなを元気にする歌を\r\n歌えるようになりたいです！,"I wanna be able to sing songs that energize
everybody!"
プロデューサーさん、\r\n今週にボーカルレッスンをさせてください！,"Producer-san!
Please let me do a vocal lesson this week!"
ありがとうございます！\r\nえへへ！　プロデューサーさんは優しいです！,"Thank you very much!
Ehehe! Producer-san's so nice!"
あう、ダメですか……\r\nわかりました、また今度にしますね,"Augh, it's no good...?
I gotcha, maybe next time."
えへへ、うまく歌えました！,"Ehehe, I sang so well!"
プロデューサーさんのおかげでさらにパワーアップです\r\nありがとうございます！,"It's thanks to you I keep powering up!
Thank you very much!"
ボーカルレッスン、できませんでした……\r\nあっ、でもでも他のこともスゴい勉強になりますから,"I wasn't able... to have a vocal lesson.
Ah, but, but, other things can also be awesome
to study!"
ボーカルレッスンはまた今度でも大丈夫ですっ\r\nプロデューサーさん、次は、お願いします！,"It's okay if I can have a vocal lesson some other time.
Producer-san, please accept next time!"
約束を守ってくれたのに……\r\nごめんなさい、プロデューサーさん！,"Even though you kept your promise...
I'm sorry, Producer-san!"
次はもっと頑張ります！\r\n正義のアイドルになるために！,"I'll try even harder next time! In order to become
the idol of justice!"
あたし、もっとうまく踊れるようになりたいんです！,I want to be able to dance even better!
プロデューサーさん！\r\n今週にダンスレッスンがしたいです！,Producer-san! I want to have a dance lesson this week!
ダンスレッスン、バッチリ完了です！\r\nヒーローみたいにカッコいい動きができましたっ,"I completed the dance lesson perfectly!
I was able to move really cool like a hero!"
プロデューサーさん、\r\n約束守ってくれて、ありがとうございます！,"Producer-san, thanks for keeping your promise!"
ダンスレッスンのはずだったんですけど……\r\nダンスに変身ポーズを入れるのはまた次回です！,"It was supposed to be a dance lesson but... I'll have to
put a transformation pose in the dance next time!"
次はお願いします！\r\nプロデューサーさん！,Next time please! Producer-san!
あたしもヒーローみたいに\r\nもっとカッコよくなりたいです！,I want to become even cooler and more like a hero!
今週にビジュアルレッスンがしたいです\r\nプロデューサーさん！,"I'd like a visual lesson this week, Producer-san!"
えへへ！　かわいくなれた気がします！\r\nスッゴく勉強になりましたっ,Ehehe! I feel super cute! I really studied hard!
プロデューサーさん、ありがとうございます！,"Producer-san, thank you very much!"
あれ、今日はビジュアルレッスンの日……\r\nあ、いえっ！,"Huh? Today was the day of the visual lesson... ah, no!"
何かスゴい考えがあって予定を変えたんですよね！\r\n次はレッスンお願いします、プロデューサーさんっ,"You came up with an amazing idea and changed
the schedule! Next lesson please, Producer-san!"
今度、どうしても見に行きたいヒーローショーがあって……,"Soon, there's going to be a hero show I really
want to see..."
プロデューサーさん\r\n今週、お休みにできませんか？,"Producer-san, could I take a break this week?"
ヒーローショー、スッゴい楽しかったです！\r\nふわぁ、今でもワクワクが止まりませんっ,"The hero show was amazingly fun!
Fwahh, I can't stop shaking even now."
プロデューサーさん\r\nお休みをくれてありがとうございます！,"Producer-san, thank you very much for giving me
a break!"
ヒーローショー……い、いえ！\r\nなんでもありません！,The hero show... n-no! It's nothing!
正義のアイドルに休みはありませんからっ！,The idol of justice needs no holidays!
プロデューサーさん、\r\n一週間後にボーカルレッスンをさせてください！,"Producer-san! Please let me do a vocal lesson
next week!"
プロデューサーさん！\r\n一週間後にダンスレッスンがしたいです！,"Producer-san! I want to have a dance lesson
next week!"
一週間後にビジュアルレッスンがしたいです\r\nプロデューサーさん！,"I'd like a visual lesson next week, Producer-san!"
プロデューサーさん\r\n一週間後、お休みにできませんか？,"Producer-san, could I take a break next week?"
プロデューサーさん、\r\n二週間後にボーカルレッスンをさせてください！,"Producer-san! Please let me do a vocal lesson in
two weeks!"
プロデューサーさん！\r\n二週間後にダンスレッスンがしたいです！,"Producer-san! I want to have a dance lesson in
two weeks!"
二週間後にビジュアルレッスンがしたいです\r\nプロデューサーさん！,"I'd like a visual lesson in two weeks, Producer-san!"
プロデューサーさん\r\n二週間後、お休みにできませんか？,"Producer-san, could I take a break in two weeks?"
みんなに聴いてもらえるように……\r\n私、もっと歌が上手になりたいんです！,"So everyone can listen to me... I want to get better
at singing!"
今週にボーカルレッスンを\r\nやらせてください！,Please let me do a vocal lesson this week!
わあ、やったー！\r\nありがとうございます！,"Oh, yay! Thank you!"
うっ……だ、だめですか？\r\nわかりました、仕方ないです……！,"Aw... I-I can't? I understand, it can't be helped...!"
お疲さまでした！,Good job!
なんだか、今日はのびのび歌えた気がします！\r\nありがとうございました！,"It sort of feels like I was able to sing comfortably
today! Thank you!"
ああ……！\r\n私のボーカルレッスンの予定がっ……！,Ah...! My vocal lesson plans...!
次は忘れないでもらえたら嬉しいです\r\nよろしくお願いしますね、プロデューサーさん！,"It would make me happy if you don't forget about it
next time. I'll be in your care, Producer-san!"
うう……失敗しちゃいましたぁ,Aw... I messed up.
すみません！　\r\n次はもっと頑張りますっ！,I'm sorry! I'll try harder next time!
私のダンス、まだまだですよね……\r\nみんなの足を引っ張りたくないんですっ！,"My dancing still has a ways to go...
I don't want to hold everyone back!"
今週にレッスンさせてください！,Please let me do a dance lesson this week!
なんだか今日は体が軽かったような気がします！\r\nコツを掴めてきたんですかねっ？,"My body felt sort of light today!
Maybe I'm getting the hang of it?"
プロデューサーさんがレッスン入れてくれたおかげです！\r\nありがとうございました！,"It's thanks to you putting me in this lesson!
Thank you!"
うう……ダンスレッスンしたかったです……,Aw... I wanted to do a dance lesson...
でも、しょうがないですよね！\r\nまた、次の機会にお願いしますっ,"But, it can't be helped!
Please let me do it next time we have the chance."
私、もっときれいになりたいです！\r\n……その、目立った個性もないですし……,"I want to get prettier!
...Um, and there's nothing that stands out about me..."
ビジュアルレッスン、\r\n今週にやらせてもらってもいいですかっ？,Is it okay if you let me do a visual lesson this week?
ビジュアルレッスンの成果、出てますかね？\r\n新しいチョコアイドル、誕生したんじゃないでしょうか！？,"The results of my visual lesson are showing, right?
Has a new chocolate idol been born?!"
私、もっと頑張りますね、プロデューサーさん！,"I'm going to work harder, Producer-san!"
本当は、レッスン受けられたら良かったんですけど……\r\nうっかり忘れちゃう時もありますよねっ,"I really would've been happy if you put me in a lesson...
but sometimes people accidentally forget things."
でも、次はちゃんと予定入れておいてくださいね？\r\n約束ですよ、プロデューサーさん,"But next time, please put it in your schedule
properly, okay? It's a promise, Producer-san."
すみません、プロデューサーさん……\r\nそろそろ新しいチョコのネタを仕入れたくて……,"Excuse me, Producer-san... I want to get more info
on new chocolates sometime soon..."
今週にお休みをいただけませんか……？,Is it alright if I take time off this week...?
えへへ、チョコもたっぷり食べて\r\nばっちりリフレッシュしちゃいました,"Ehehe, I ate plenty of chocolate and now I'm totally
refreshed."
おかげ様で、元気100倍です！,"Thanks to you, I have a hundred times more energy!"
ああっ……！　私のチョコ……ケーキ……スイーツ……\r\n食べられるはずだったお菓子たち……！,"Ah...! My chocolates... cake... sweets... the candy
I should've been able to eat...!"
プロデューサーさん、お願いです……！\r\n今度は必ず時間、取っておいてください……！,"Producer-san, please...!
Please make sure to give me time next time...!"
一週間後にボーカルレッスンを\r\nやらせてください！,Please let me do a vocal lesson next week!
一週間後にレッスンさせてください！,Please let me do a dance lesson next week!
ビジュアルレッスン、\r\n一週間後にやらせてもらってもいいですかっ？,Is it okay if you let me do a visual lesson next week?
一週間後にお休みをいただけませんか……？,Is it alright if I take time off next week...?
二週間後にボーカルレッスンを\r\nやらせてください！,Please let me do a vocal lesson in two weeks!
二週間後にレッスンさせてください！,Please let me do a dance lesson in two weeks!
ビジュアルレッスン、\r\n二週間後にやらせてもらってもいいですかっ？,Is it okay if you let me do a visual lesson in two weeks?
二週間後にお休みをいただけませんか……？,Is it alright if I take time off in two weeks...?
なあ、プロデュ－サ－\r\nこの間の新曲、まだうまく歌えね－んだよ,"Hey, Producer.
I'm having trouble with the new song."
今週にボ－カルレッスンしてもいいだろ？,Can I have a vocal lesson this week?
本当かっ！\r\n約束、絶対だかんな！,"Really!?
Then it's a promise!"
ちぇ、仕方ね－な……\r\n……わかったよ,"Tch, ok then...
I understand."
流石に喉カラッカラだぜ\r\nでも、お陰でいい感じに歌えるようになった,"I really sang myself hoarse this time.
But thanks to that, I think I can nail the song now."
ありがとな、プロデュ－サ－,"Thanks, Producer."
なぁ、アンタ\r\nアタシとの約束忘れてね－か？,"Hey, you forgot about our promise, didn't you?"
ボ－カルレッスン、次は頼むぜ,Please remember the vocal lesson next time.
あんま集中できなかった……,I couldn't focus at all...
すまね－な\r\n折角予定組んでくれたのに……,"Sorry...
I made you go through all that trouble too..."
アタシのソロパ－トで、\r\nもう少し確認して－動きがあるんだよな……,There's a move in my solo part that I want to review...
今週にダンスレッスン頼めね－か？,Can I ask for a dance lesson this week?
納得いくまでレッスン出来たおかげで、\r\nダンスにキレが出てきた気がするぜ,"I got to practice until I was happy with it so I think
I've finished honing my moves for that dance."
予定組んでくれてありがとな、プロデュ－サ－,"Thanks for scheduling, Producer."
ダンスレッスンの予定、\r\n組んでくれるんじゃなかったのかよ？,Weren't you supposed to schedule a dance lesson?
ったく、今度は頼むぜ,"Ugh, please remember next time."
アイドルらしい化粧の仕方ってのが、\r\nどうも苦手でな……,I'm not good at doing idol-like makeup at all...
今週にビジュアルレッスン頼みて－んだけど……\r\nいいか？,"I want to ask for a visual lesson this week...
Is that okay?"
アイドルらしい化粧ってのは、やっぱ難しいな……\r\nけど、コツは掴んだぜ！,"Doing idol-like makeup is so difficult...
But I'm getting the knack of it!"
サンキュ－な、プロデュ－サ－,"Thank you, Producer."
ビジュアルレッスンの約束はどうした？,What happened to the promise for a visual lesson?
いいのかよ？\r\nこのままじゃ、いつまでたっても上達できね－ぞ,"You're fine with this?
I'm never improving at this rate."
今週に好きなチ－ムの試合があるんだけどよ……,My favorite team has a game this week...
そん時だけ、休み貰えね－か？,"Can I take some time off, just this once?"
いや－、久々にテンション上がったぜ！\r\n最高にアツい試合だった！,"Wow, I haven't felt this fired up in a long time!
What an incredible match!"
アンタのお陰でいい休日になったよ\r\nサンキューな、プロデューサー,"I had a great day off thanks to your help.
Thank you, Producer."
今日の試合、楽しみにしてたんだけどな……,I was really looking forward to the game today...
ま、仕方ね－よな……,"Oh well, whatever, I guess..."
一週間後にボ－カルレッスンしてもいいだろ？,Can I have a vocal lesson next week?
一週間後にダンスレッスン頼めね－か？,Can I ask for a dance lesson next week?
一週間後にビジュアルレッスン頼みて－んだけど……\r\nいいか？,"I want to ask for a visual lesson next week...
Is that cool?"
一週間後に好きなチ－ムの試合があるんだけどよ……,My favorite team has a game next week...
二週間後にボ－カルレッスンしてもいいだろ？,Can I have a vocal lesson two weeks from now?
二週間後にダンスレッスン頼めね－か？,Can I ask for a dance lesson two weeks from now?
二週間後にビジュアルレッスン頼みて－んだけど……\r\nいいか？,"I want to ask for a visual lesson two weeks from
now... is that okay?"
二週間後に好きなチ－ムの試合があるんだけどよ……,My favorite team has a game two weeks from now...
プロデューサーさま……,Producer-sama......
高音が……安定しないのです\r\n今週、レッスンを、お願い、したいのですが……,"My pitch is off...
May I... have a lesson this week...?"
凛世を、お気遣いくださり……\r\nありがとう、ございます。プロデューサーさま……,"Thank you... for being considerate... towards Rinze...
Producer-sama..."
……お手を、煩わせてしまい\r\n申し訳、ございませんでした,"...I must have... bothered you.
I apologize..."
効果が出たように……思われます,I believe... it seems to have worked...
少々……自信が、つきました\r\nプロデューサーさま、ありがとう、ございます,"I have gained... some confidence...
Producer-sama, thank you... very much..."
何か、お考えが、あったのですね……,I see you had... a different idea...
プロデューサーさまは、お忙しい身\r\nこの凛世、わがままは、申しません,"Producer-sama must be busy.
I apologize... for my selfishness..."
成果のほどは……\r\nあまり芳しくは、ございませんでした,"The outcome...
Turned out... to not be favorable."
至らぬ凛世を、お許しください……,Please excuse... Rinze's inadequacy...
プロデューサーさま\r\n凛世の舞は……いかがでしょう……,"Producer-sama, my dancing... what do you think...?"
お気に召すよう、舞いたいのです……\r\n今週、レッスンを、いたしたく思います,"I hope you liked it...
Would it be fine, if I took a dance lesson this week...?"
要領が、つかめて参りました……,I think I am getting used to it...
舞うのが……楽しいのです,Dancing... It is quite fun...
本日は、舞のレッスンが……,"Today, I had a dance lesson..."
いえ……\r\n何でも……ないのです,"No...
It is... nothing..."
装いには、心の姿が……現れます……,"In one's adornment, the condition of the heart...
is embodied..."
プロデューサーさま、お化粧のレッスンを\r\n今週にしておきたいのですが……,"Producer-sama, this week... could I have a visual
lesson..."
よきご指導を……頂くことが、できました\r\nありがとう、ございます……,"To have accepted... your guidance...
Thank you, very much..."
この姿……貴方さまには、\r\n見目よく、映っておりましょうか,"This appearance... to you, is it a good one...?"
お化粧の、レッスン日……,A visual lesson day...
きっと、お忙しかったのですね……\r\nプロデューサーさまの、お身体が……心配です,"I am certain you were busy...
Producer-sama, I worry... for your health..."
少しばかり、無理を、いたしました……,Perhaps it was a bit... unreasonable...
今週に、お休みを頂戴できますでしょうか……,This week... Could I ask... to take a break...?
疲れを癒すことが、できました\r\nありがとう、ございます……,"I was able... to heal my fatigue...
Thank you very much..."
凛世はもう、大事ございません,Rinze is... no longer important...
……！\r\n申し訳ございません……少々、疲労が……,"...!
I humbly apologize... I am a bit exhausted..."
これも、試練、なのですね……,"This too, is perhaps a test..."
高音が……安定しないのです\r\n一週間後、レッスンを、お願い、したいのですが……,"My high notes... are unstable...
In one week, may I... have a vocal lesson...?"
お気に召すよう、舞いたいのです……\r\n一週間後、レッスンを、いたしたく思います,"I would like to dance... in the way you prefer...
Do you think... I could have a dance lesson... in one
week?"
プロデューサーさま、お化粧のレッスンを\r\n一週間後にしておきたいのですが……,"Producer-sama, next week...
Could I have a visual lesson..."
一週間後に、お休みを頂戴できますでしょうか……,Could I possibly... rest in one week...?
高音が……安定しないのです\r\n二週間後、レッスンを、お願い、したいのですが……,"My high notes... are unstable...
In two weeks, may I... have a vocal lesson...?"
お気に召すよう、舞いたいのです……\r\n二週間後、レッスンを、いたしたく思います,"I would like to dance... in the way you prefer...
Do you think... I could have a lesson... in two weeks?"
プロデューサーさま、お化粧のレッスンを\r\n二週間後にしておきたいのですが……,"Producer-sama, in two weeks...
Could I have a visual lesson..."
二週間後に、お休みを頂戴できますでしょうか……,Would you kindly... allow me to rest in two weeks...?
プロデューサー、\r\nもっと歌の技術を磨きたいわ,"Producer, I'd like to polish my singing technique
further."
今週はボーカルレッスンをしましょう！,Let's have a vocal lesson this week!
それでこそよ、プロデューサー！,"Attaboy, Producer!"
そう……仕方がないわね,I see... I guess it can't be helped.
ふぅ……けっこう歌えたわね,Phew... I sang quite a lot.
発声がよくなった感じがするわ\r\n約束、守ってくれて嬉しいわ,"It feels like my vocalization's improved.
I'm happy you kept your promise."
やっぱり歌の技術が磨きたかったわね……,I really wanted to polish up my singing technique...
いい？　今度はちゃんと約束を守るのよ？,"Listen. You better make sure to keep your promise
next time, okay?"
思うような成果は出なかったわ……,Things didn't go the way I expected...
でも、これを次につなげていくわ！,But I'll be sure to get it right next time!
トップを目指すには、ダンスの実力がまだまだだわ……,"If I want to aim for the top, I'll need to have better
dancing skills..."
ダンスレッスンをしたいから、\r\n今週付き合って頂戴、プロデューサー！,"I want to have a dance lesson this week, so I'll need
you to come along with me, Producer!"
ふぅ、いい汗をかいたわね,"Phew, I worked up a good sweat."
ダンスのキレが良くなった気がするの\r\nありがとう、プロデューサー,"I noticed my steps have gotten much sharper.
Thank you, Producer."
ダンスで確認したいところがあったのだけど……,"There were parts in the dances that I really
wanted to go over."
次は約束を忘れないで頂戴,Please don't forget your promise next time.
アイドルとして\r\n自分をより美しく見せることも大事だと思うの,"Showing off your good points is one of the most
important parts of being an idol, in my opinion."
今週はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"I wanted to have a visual lesson this week.
Is that alright with you?"
ねぇ、プロデューサー。私をよく見て頂戴,"Hey, Producer. Take a good look."
また一段と美しくなれたでしょう？\r\nこれもプロデューサーのお陰よ,"Don't I look even prettier now?
It's thanks to you, of course."
もう！　次の仕事に備えてポーズとか研究したかったのに！,"Honestly! Even though I wanted to research a pose
for my next job!"
次は必ず約束を守りなさい！,You better keep your promise next time!
適度な休息も、トレーニングのうちだと思うわ,"It's important to rest in moderation when doing
a lot of training."
今週はお休みをもらってもいいかしら？,Would it be alright if I took this week off?
ゆっくり休んで、リフレッシュできたわ,I feel refreshed now that I took it easy this week.
また頑張るわよ！,Now it's back to work!
ここで身体を休めるはずだったのに……,I was supposed to give my body a break this week...
約束を守ってもらわないと、予定も組めないわ\r\n今度からはちゃんと守るのよ？,"If you don't keep your promises, I can't make proper
plans. Make sure you keep your promise next time,
okay?"
一週間後はボーカルレッスンをしましょう！,Let's have a vocal lesson a week from now!
ダンスレッスンをしたいから、\r\n一週間後付き合って頂戴、プロデューサー！,"I want to have a dance lesson next week, so I'll need
you to come along with me, Producer!"
一週間後はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"I wanted to have a visual lesson next week.
Is that alright with you?"
一週間後はお休みをもらってもいいかしら？,Would it be alright if I took next week off?
二週間後はボーカルレッスンをしましょう！,Let's have a vocal lesson two weeks from now!
ダンスレッスンをしたいから、\r\n二週間後付き合って頂戴、プロデューサー！,"I want to have a dance lesson two weeks from now,
so I'll need you to come along with me, Producer!"
二週間後はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"I wanted to have a visual lesson two weeks from
now. Is that alright with you?"
二週間後はお休みをもらってもいいかしら？,Would it be alright if I took the week after next off?
甘奈ね、自分の歌い方で\r\n少し気になってるところがあるんだよね,"I'm uh, a little bit concerned about the way that I sing."
今週にボーカルレッスン、頼んでいいかな,"Would it be alright to ask for a vocal lesson this
week?"
さっすがプロデューサーさん！\r\n話が分かるー☆,That's my Producer-san! You totally get it☆
そっかー。それじゃしょうがないよねー…\r\n無理言っちゃって、ごめんね！,"Gotcha── Can't be helped then...
Sorry for asking something unreasonable!"
今日のレッスンで\r\nどうやって歌ったらいいかよくわかったよ,"I was able to figure out a good way to sing in
today's lesson."
ありがとねっ、プロデューサーさん,"Hey thanks, Producer-san."
やっぱり自主レッスンだと、\r\n気になるところは解決できないなぁ,"As I figured, I wasn't able to fix it through
independent study."
次はしっかり約束守ってね\r\nプロデューサーさん,"Make sure to keep your promise next time,
Producer-san."
ごめんね、プロデューサーさん\r\n無理を聞いてくれたのに……,"Sorry, Producer-san. It was an impossible request..."
次は応えられるようにがんばるからね！,I'll do my best to meet your expectations next time!
プロデューサーさん\r\nどうしてもできないステップがあってね,"Producer-san, I can't figure out this step no matter
what I do."
今週にダンスレッスンお願いできる？,Could I request a dance lesson this week?
バッチリ、キレのあるステップが\r\nできるようになったんだ☆,"Right on, I was totally able to do that step☆"
甘奈、ダンスちょっと上手になったかも\r\nプロデューサーさん、ありがと,"I might be a little bit better at dancing now.
Producer-san, thanks."
自分で練習もしてみたけど……\r\n鏡とか見てもっとチェックしたかったなー,"I practice by myself but...
I wanted to check in the mirror more──"
次は予定、\r\nしっかり覚えててくれると嬉しいな,"Next time, I'd be happy if you remembered well."
甘奈、この前雑誌読んでて、ちょーかわいー\r\nメイク思いついちゃったんだ！,"I was reading a magazine earlier and came up with
a cute makeup idea!"
試してみたいから\r\n今週にビジュアルレッスンお願いしたいな,"Since I wanted to try it, could I ask for a visual
lesson this week?"
思いついたメイクを試してみたらね\r\nスゴくいい感じだったんだよね！,"I tried the makeup I just came up with.
It turned out amazing!"
今度プロデューサーさんにも見てもらいたいな\r\n約束守ってくれて、ありがとねっ,"I want you to see it next time.
Thanks for keeping your promise."
うーん、あのメイク\r\nどうやったらモノにできたのかな～,"Hmmm, how was I going to do that makeup again～"
ちょっと残念だったかな～,That's kind of a bummer～
プロデューサーさん！\r\nどーしても外せない用事が出来ちゃって……,"Producer-san! There's something I have to take care
of that I can't get out of."
今週ってお休みもらえたりするかな,Would it be okay for me to take a break this week?
お休みもらえたおかげで、\r\nしっかりと予定が守れたよー,"Thanks to the break, I was able to keep my
promises──"
お陰で甘奈、頑張れるっ！\r\nありがとー☆,"Because of you, I can do my best! Thanks☆"
お仕事だもん、仕方ないよね……,"Since it's work, it can't be helped..."
でも次はよろしくね\r\nプロデューサーさん,"But please help me out next time, Producer-san."
一週間後にボーカルレッスン、頼んでいいかな,"Would it be alright to ask for a vocal lesson
next week?"
一週間後にダンスレッスンお願いできる？,Could I request a dance lesson next week?
試してみたいから\r\n一週間後にビジュアルレッスンお願いしたいな,"Since I wanted to try it, could I ask for a visual
lesson next week?"
一週間後ってお休みもらえたりするかな,"Would it be okay for me to take a break next
week?"
二週間後にボーカルレッスン、頼んでいいかな,"Would it be alright to ask for a vocal lesson in
two weeks?"
二週間後にダンスレッスンお願いできる？,Could I request a dance lesson in two weeks?
試してみたいから\r\n二週間後にビジュアルレッスンお願いしたいな,"Since I wanted to try it, could I ask for a visual
lesson in two weeks?"
二週間後ってお休みもらえたりするかな,"Would it be okay for me to take a break in two
weeks?"
プロデューサーさん……\r\n甜花……もっと大きい声、出せるように……なりたい……,"Producer-san...
Tenka... wants to be able to sound... louder..."
だから、今週……歌のレッスン……したい……,"So, for this week... Let's do a vocal lesson... Please..."
にへへ……うれしい……,Nihehe... Tenka's happy...
わかった……がまん……するね……,Tenka... understands now...
歌うの……楽しいね……\r\n声も、大きくなった……気がする……,Singing... is fun... Tenka's voice... is louder now...
にへへ……プロデューサーさん、ありがとう……,Nihehe... Producer-san... Thank you...
プロデューサーさん……ボーカルレッスンは……？,Producer-san... What about the vocal lesson...?
甜花……のど飴……たくさんなめたのに……,Tenka... already ate... a lot of cough candy...
あ、あれ……？　こうじゃ、ない……？,H-Huh...? It is cancelled...?
