ja,zh
[条件:凛世][確率:40％][最大:2回],[条件:凛世][確率:40％][最大:2回]
[条件:千雪][確率:10％][最大:1回],[条件:千雪][確率:10％][最大:1回]
[条件:千雪][確率:40％][最大:2回],[条件:千雪][確率:40％][最大:2回]
[条件:咲耶][確率:10％][最大:1回],[条件:咲耶][確率:10％][最大:1回]
[条件:咲耶][確率:40％][最大:2回],[条件:咲耶][確率:40％][最大:2回]
[条件:夏葉][確率:10％][最大:1回],[条件:夏葉][確率:10％][最大:1回]
[条件:夏葉][確率:40％][最大:2回],[条件:夏葉][確率:40％][最大:2回]
[条件:恋鐘][確率:10％][最大:1回],[条件:恋鐘][確率:10％][最大:1回]
[条件:恋鐘][確率:30％][最大:1回],[条件:恋鐘][確率:30％][最大:1回]
[条件:恋鐘][確率:40％][最大:2回],[条件:恋鐘][確率:40％][最大:2回]
[条件:愛依][確率:10％][最大:1回],[条件:愛依][確率:10％][最大:1回]
[条件:愛依][確率:40％][最大:2回],[条件:愛依][確率:40％][最大:2回]
[条件:摩美々][確率:10％][最大:1回],[条件:摩美々][確率:10％][最大:1回]
[条件:摩美々][確率:40％][最大:2回],[条件:摩美々][確率:40％][最大:2回]
[条件:智代子][確率:10％][最大:1回],[条件:智代子][確率:10％][最大:1回]
[条件:智代子][確率:40％][最大:2回],[条件:智代子][確率:40％][最大:2回]
[条件:果穂][確率:10％][最大:1回],[条件:果穂][確率:10％][最大:1回]
[条件:果穂][確率:40％][最大:2回],[条件:果穂][確率:40％][最大:2回]
[条件:樹里][確率:10％][最大:1回],[条件:樹里][確率:10％][最大:1回]
[条件:樹里][確率:40％][最大:2回],[条件:樹里][確率:40％][最大:2回]
[条件:灯織][確率:10％][最大:1回],[条件:灯織][確率:10％][最大:1回]
[条件:灯織][確率:40％][最大:2回],[条件:灯織][確率:40％][最大:2回]
[条件:灯織][確率:30％][最大:1回],[条件:灯織][確率:30％][最大:1回]
[条件:甘奈][確率:10％][最大:1回],[条件:甘奈][確率:10％][最大:1回]
[条件:甘奈][確率:40％][最大:2回],[条件:甘奈][確率:40％][最大:2回]
[条件:甜花][確率:10％][最大:1回],[条件:甜花][確率:10％][最大:1回]
[条件:甜花][確率:40％][最大:2回],[条件:甜花][確率:40％][最大:2回]
[条件:真乃][確率:10％][最大:1回],[条件:真乃][確率:10％][最大:1回]
[条件:真乃][確率:40％][最大:2回],[条件:真乃][確率:40％][最大:2回]
[条件:結華][確率:10％][最大:1回],[条件:結華][確率:10％][最大:1回]
[条件:結華][確率:40％][最大:2回],[条件:結華][確率:40％][最大:2回]
[条件:観客1][確率:30％][最大:3回],[条件:観客1][確率:30％][最大:3回]
[条件:観客2以下][確率:50％][最大:1回],[条件:観客2以下][確率:50％][最大:1回]
[条件:観客3以上][確率:20％][最大:1回],[条件:観客3以上][確率:20％][最大:1回]
[条件:霧子][確率:10％][最大:1回],[条件:霧子][確率:10％][最大:1回]
[条件:霧子][確率:40％][最大:2回],[条件:霧子][確率:40％][最大:2回]
[条件:1位][確率:30％][最大:1回],[条件:1位][確率:30％][最大:1回]
[条件:2ターン以前][確率:30％][最大:1回],[条件:2ターン以前][確率:30％][最大:1回]
[条件:2位][確率:30％][最大:1回],[条件:2位][確率:30％][最大:1回]
[条件:3ターン以前][確率:30％][最大:1回],[条件:3ターン以前][確率:30％][最大:1回]
[条件:3ターン以降][確率:10％][最大:3回],[条件:3ターン以降][確率:10％][最大:3回]
[条件:3位][確率:20％][最大:1回],[条件:3位][確率:20％][最大:1回]
[条件:3位][確率:30％][最大:1回],[条件:3位][確率:30％][最大:1回]
[条件:4ターン以前][確率:20％][最大:1回],[条件:4ターン以前][確率:20％][最大:1回]
[条件:4ターン以前][確率:30％][最大:1回],[条件:4ターン以前][確率:30％][最大:1回]
[条件:5ターン以降][確率:20％][最大:1回],[条件:5ターン以降][確率:20％][最大:1回]
[条件:5ターン以降][確率:30％][最大:1回],[条件:5ターン以降][確率:30％][最大:1回]
[条件:5位][確率:30％][最大:1回],[条件:5位][確率:30％][最大:1回]
[条件:5位][確率:30％][最大:3回],[条件:5位][確率:30％][最大:3回]
[条件:6ターン以前][確率:10％][最大:3回],[条件:6ターン以前][確率:10％][最大:3回]
[条件:8ターン以降][確率:30％][最大:2回],[条件:8ターン以降][確率:30％][最大:2回]
[条件:8ターン以降][確率:30％][最大:3回],[条件:8ターン以降][確率:30％][最大:3回]
[条件:Dance担当][確率:10％][最大:1回],[条件:Dance担当][確率:10％][最大:1回]
[条件:Dance担当][確率:30％][最大:1回],[条件:Dance担当][確率:30％][最大:1回]
[条件:DanceUPが付与されている場合][確率:30％][最大:1回],[条件:DanceUPが付与されている場合][確率:30％][最大:1回]
[条件:Visual担当][確率:30％][最大:1回],[条件:Visual担当][確率:30％][最大:1回]
[条件:Vocal担当][確率:15％][最大:1回],[条件:Vocal担当][確率:15％][最大:1回]
[条件:Vocal担当][確率:30％][最大:1回],[条件:Vocal担当][確率:30％][最大:1回]
[条件:VocalUPが付与されている場合][確率:30％][最大:1回],[条件:VocalUPが付与されている場合][確率:30％][最大:1回]
メンタル20％回復,メンタル20％回復
全観客にDance1倍アピール/興味30%DOWN[2ターン],全観客にDance1倍アピール/興味30%DOWN[2ターン]
影響力30％DOWN[3ターン],影響力30％DOWN[3ターン]
必ず最初にアピールを行いDance2倍アピール/影響力20％DOWN[2ターン],必ず最初にアピールを行いDance2倍アピール/影響力20％DOWN[2ターン]
必ず最初にアピールを行いVisual3.5倍アピール/興味15％UP[5ターン],必ず最初にアピールを行いVisual3.5倍アピール/興味15％UP[5ターン]
思い出ゲージ10％UP/Dance30％UP[2ターン],思い出ゲージ10％UP/Dance30％UP[2ターン]
興味50％DOWN[1ターン],興味50％DOWN[1ターン]
Dance1.5倍アピール/Dance40％UP[3ターン],Dance1.5倍アピール/Dance40％UP[3ターン]
Dance2倍アピール/影響力10％DOWN[3ターン],Dance2倍アピール/影響力10％DOWN[3ターン]
Dance2倍アピール/興味10％UP[3ターン],Dance2倍アピール/興味10％UP[3ターン]
Dance2倍アピール/Visual25％UP[3ターン],Dance2倍アピール/Visual25％UP[3ターン]
Dance2倍アピール/Vocal＆Visual15％UP[3ターン],Dance2倍アピール/Vocal＆Visual15％UP[3ターン]
Dance2.5倍アピール/メンタル5％回復,Dance2.5倍アピール/メンタル5％回復
Dance2.5倍アピール/Dance20％UP[3ターン],Dance2.5倍アピール/Dance20％UP[3ターン]
Dance2.5倍アピール/Vocal＆Visual10％UP[3ターン],Dance2.5倍アピール/Vocal＆Visual10％UP[3ターン]
Dance3倍アピール/メンタルダメージ50％UP[3ターン],Dance3倍アピール/メンタルダメージ50％UP[3ターン]
Dance3.5倍アピール/Vocal＆Visual50％DOWN[3ターン],Dance3.5倍アピール/Vocal＆Visual50％DOWN[3ターン]
Visual上限+25,Visual上限+25
Visual2倍アピール,Visual2倍アピール
Visual2倍アピール/メンタルダメージ20％CUT[2ターン],Visual2倍アピール/メンタルダメージ20％CUT[2ターン]
Visual2.5倍アピール/メンタル5％回復,Visual2.5倍アピール/メンタル5％回復
Visual2.5倍アピール/Visual20％UP[3ターン],Visual2.5倍アピール/Visual20％UP[3ターン]
Visual2.5倍アピール/Visual30％UP[3ターン]/メンタルダメージ30％UP[3ターン],Visual2.5倍アピール/Visual30％UP[3ターン]/メンタルダメージ30％UP[3ターン]
Visual2.5倍アピール/Vocal＆Dance10％UP[3ターン],Visual2.5倍アピール/Vocal＆Dance10％UP[3ターン]
Visual3倍アピール/注目度40％UP[2ターン]/メンタルダメージ40％UP[2ターン],Visual3倍アピール/注目度40％UP[2ターン]/メンタルダメージ40％UP[2ターン]
Vocal＆Dance上限＋20,Vocal＆Dance上限＋20
Vocal＆Dance上限＋30,Vocal＆Dance上限＋30
Vocal＆Dance1倍アピール/Vocal＆Dance10％UP[3ターン],Vocal＆Dance1倍アピール/Vocal＆Dance10％UP[3ターン]
Vocal＆Visual上限＋20,Vocal＆Visual上限＋20
Vocal＆Visual上限＋30,Vocal＆Visual上限＋30
Vocal＆Visual1倍アピール/Vocal＆Visual10％UP[3ターン],Vocal＆Visual1倍アピール/Vocal＆Visual10％UP[3ターン]
Vocal1～5倍アピール[メンタルが少ないほど効果UP],Vocal1～5倍アピール[メンタルが少ないほど効果UP]
Vocal2倍アピール,Vocal2倍アピール
Vocal2倍アピール/メンタルダメージ20％CUT[2ターン],Vocal2倍アピール/メンタルダメージ20％CUT[2ターン]
Vocal2倍アピール/興味10％UP[3ターン],Vocal2倍アピール/興味10％UP[3ターン]
Vocal2.5倍アピール/メンタル5％回復,Vocal2.5倍アピール/メンタル5％回復
Vocal2.5倍アピール/Dance＆Visual10％UP[3ターン],Vocal2.5倍アピール/Dance＆Visual10％UP[3ターン]
Vocal2.5倍アピール/Vocal30％UP[3ターン]/メンタルダメージ30％UP[3ターン],Vocal2.5倍アピール/Vocal30％UP[3ターン]/メンタルダメージ30％UP[3ターン]
Vocal3.5倍アピール/注目度50％UP[2ターン]/メンタルダメージ50％UP[2ターン],Vocal3.5倍アピール/注目度50％UP[2ターン]/メンタルダメージ50％UP[2ターン]
Vocal3.5倍アピール/自身のメンタルを30％減らす,Vocal3.5倍アピール/自身のメンタルを30％減らす
[条件:甘奈][確率:30％][最大:2回],[条件:甘奈][確率:30％][最大:2回]
[条件:灯織][確率:30％][最大:2回],[条件:灯織][確率:30％][最大:2回]
[条件:樹里][確率:30％][最大:2回],[条件:樹里][確率:30％][最大:2回]
[条件:果穂][確率:30％][最大:2回],[条件:果穂][確率:30％][最大:2回]
[条件:智代子][確率:30％][最大:2回],[条件:智代子][確率:30％][最大:2回]
[条件:千雪][確率:30％][最大:2回],[条件:千雪][確率:30％][最大:2回]
[条件:霧子][確率:30％][最大:2回],[条件:霧子][確率:30％][最大:2回]
[条件:凛世][確率:30％][最大:2回],[条件:凛世][確率:30％][最大:2回]
[条件:メンタル90％以上][確率:30％][最大:1回],[条件:メンタル90％以上][確率:30％][最大:1回]
[条件:メンタル33％以上][確率:33％][最大:1回],[条件:メンタル33％以上][確率:33％][最大:1回]
[条件:めぐる][確率:30％][最大:2回],[条件:めぐる][確率:30％][最大:2回]
[条件:めぐる][確率:30％][最大:1回],[条件:めぐる][確率:30％][最大:1回]
[条件:咲耶][確率:30％][最大:2回],[条件:咲耶][確率:30％][最大:2回]
[条件:夏葉][確率:30％][最大:2回],[条件:夏葉][確率:30％][最大:2回]
[条件:恋鐘][確率:30％][最大:2回],[条件:恋鐘][確率:30％][最大:2回]
[条件:愛依][確率:30％][最大:2回],[条件:愛依][確率:30％][最大:2回]
[条件:摩美々][確率:30％][最大:2回],[条件:摩美々][確率:30％][最大:2回]
[条件:甜花][確率:30％][最大:2回],[条件:甜花][確率:30％][最大:2回]
[条件:真乃][確率:30％][最大:2回],[条件:真乃][確率:30％][最大:2回]
[条件:結華][確率:30％][最大:2回],[条件:結華][確率:30％][最大:2回]
特定のサポートイベントで解放,特定のサポートイベントで解放
特定のアイドルイベントで解放,特定のアイドルイベントで解放
Vocal＆Visual3倍アピール,Vocal＆Visual3倍アピール
[条件:スター9以下][確率:50％][最大:2回],[条件:スター9以下][確率:50％][最大:2回]
[条件:メンタル50％以上][確率:20％][最大:2回],[条件:メンタル50％以上][確率:20％][最大:2回]
[条件:メンタル50％以上][確率:40％][最大:2回],[条件:メンタル50％以上][確率:40％][最大:2回]
[条件:メンタル50％以上][確率:50％][最大:2回],[条件:メンタル50％以上][確率:50％][最大:2回]
[条件:メンタル74％以下][確率:40％][最大:1回],[条件:メンタル74％以下][確率:40％][最大:1回]
[条件:メンタル75％以上][確率:40％][最大:1回],[条件:メンタル75％以上][確率:40％][最大:1回]
[条件:メンタル79％以下][確率:40％][最大:5回],[条件:メンタル79％以下][確率:40％][最大:5回]
[条件:観客2以下][確率:50％][最大:2回],[条件:観客2以下][確率:50％][最大:2回]
[条件:観客3以上][確率:50％][最大:2回],[条件:観客3以上][確率:50％][最大:2回]
[条件:2ターン以前][確率:40％][最大:1回],[条件:2ターン以前][確率:40％][最大:1回]
[条件:2位][確率:40％][最大:1回],[条件:2位][確率:40％][最大:1回]
[条件:3ターン以前][確率:33％][最大:1回],[条件:3ターン以前][確率:33％][最大:1回]
[条件:3ターン以前][確率:40％][最大:1回],[条件:3ターン以前][確率:40％][最大:1回]
[条件:3位][確率:40％][最大:1回],[条件:3位][確率:40％][最大:1回]
[条件:4ターン以降][確率:20％][最大:2回],[条件:4ターン以降][確率:20％][最大:2回]
[条件:スター10以上][確率:40％][最大:3回],[条件:スター10以上][確率:40％][最大:3回]
[条件:メンタル74％以下][確率:20％][最大:3回],[条件:メンタル74％以下][確率:20％][最大:3回]
[条件:メンタル80％以上][確率:40％][最大:1回],[条件:メンタル80％以上][確率:40％][最大:1回]
[条件:観客2以下][確率:25％][最大:2回],[条件:観客2以下][確率:25％][最大:2回]
[条件:2ターン以前][確率:40％][最大:2回],[条件:2ターン以前][確率:40％][最大:2回]
[条件:2位][確率:30％][最大:2回],[条件:2位][確率:30％][最大:2回]
[条件:3ターン以降][確率:20％][最大:3回],[条件:3ターン以降][確率:20％][最大:3回]
[条件:4ターン以前][確率:15％][最大:1回],[条件:4ターン以前][確率:15％][最大:1回]
[条件:4ターン以降][確率:40％][最大:2回],[条件:4ターン以降][確率:40％][最大:2回]
[条件:4ターン以降][確率:30％][最大:1回],[条件:4ターン以降][確率:30％][最大:1回]
[条件:4位][確率:40％][最大:1回],[条件:4位][確率:40％][最大:1回]
[条件:6ターン以降][確率:40％][最大:1回],[条件:6ターン以降][確率:40％][最大:1回]
Vocal＆Dance3倍アピール,Vocal＆Dance3倍アピール
Vocal＆Dance2倍アピール,Vocal＆Dance2倍アピール
Vocal1倍アピール,Vocal1倍アピール
Visual1倍アピール,Visual1倍アピール
