name,trans
恋鐘の父と母,Kogane's Mom&Dad
近くの乗客,Nearby Passenger
ファンレター,Fanletter
階下の母の声,Mom'sVoicefrBelow
階下の父の声,Dad'sVoicefrBelow
透＆円香＆雛菜,Toru&Madoka&Hinana
番組プロデューサー,TV Producer
教授,Professor
門標,Gatepost
MEMちょ,MEM-cho
有馬かな,Kana Arima
ルビー,Ruby
かな,Kana
透ら,Toru&Madoka&Koito
客席からの声援,Cheering from the audience
ライター,Writer
カフェ店員,Cafe Staff
結華のファン,Fan of Yuika
霧子のファン,Fan of Kiriko
恋鐘のファン,Fan of Kogane
摩美々のファン,Fan of Mamimi
咲耶のファン,Fan of Sakuya
ファンたち,Fangroup
三つ編みのアイドル,Idol With Braids
二つ結びのアイドル,Idol With Twintails
ロングヘアのアイドル,Idol With Long Hair
広告,Commercial
通りすがりの女性,Woman Passing By
通りすがりの男性,Man Passing By
ロングヘアの女性,Woman With Long Hair
ファンの女性,Female Fan
ファンの男性,Male Fan
スマホを構えた男性,Man Holding His Smartphone
咲耶＆霧子,Sakuya&Kiriko
樹里＆プロデューサー,Juri&Producer
バラエティ番組,Variety Program
ドラマの監督,Drama Supervisor
ドラマのディレクター,Drama Director
ドラマのスタッフ,Drama Staff
近所の老人,Elderly Neighbor
明るいクラスメイト,Cheerful Classmate
ドライなクラスメイト,Direct Classmate
騒がしいクラスメイト,Loud Classmate
穏やかなクラスメイト,Quiet Classmate
控えめなクラスメイト,Reserved Classmate
下校する生徒,Student Leaving School
人気者のクラスメイト,Popular Classmate
おしゃべりをする生徒,Chatting Students
真面目なクラスメイト,Serious Classmate
近所の主婦,Housewife Neighbor
眠そうなクラスメイト,Sleepy Classmate
真乃の母,Mano's Mom
タレント,Show Host
透のクラスメイト,Toru's Classmate
スカウトマン,Talent Scout
生徒３,Student 3
生徒２,Student 2
近所の子,Neighbourhood Kid
芸人（ツッコミ）,Comedian (Tsukkomi)
芸人（ボケ）,Comedian (Boke)
放送,Broadcast
芸人たち,Comedians
ジャスティスレッド,Justice Red
ジャスティスパープル,Justice Purple
落とし主,Owner of lost item
テキパキしたアイドル,Energetic Idol
優しそうなアイドル,Kind Idol
凛世＆甘奈,Rinze&Amana
凛世＆愛依,Rinze&Mei
車内アナウンス,Train Announcement
不安そうなアイドル,Anxious Idol
緊張気味のアイドル,Nervous Idol
泣きそうなアイドル,Near-tears Idol
クールなアイドル,Cool Idol
大人しそうなアイドル,Quite Idol
アイドルたち,Idols
町おこし実行委員,Town Renewal Committee
高校教師,High School Teacher
講師,Instructor
羽那,Hana
鈴木 羽那,Hana S.
はるき,Haruki
郁田 はるき,Haruki I.
映画監督,Film Director
家政婦,Housekeeper
メイド役の女優,Maid's Actress 
屋敷の主人,Master of Mansion
メイド,Maid
メイド長,Head Maid
企画書,Proposal
にちか＆子ども,Nichika&The Kid
若者たち,Young People
にちかの先輩,Nichika's Senpai
テレビの音,TV Sound
修学旅行生A,Student on field trip A
修学旅行生B,Student on field trip B
スーパー店員,Supermarket Clerk
若手女優,Young Actress
人気モデル,Popular Model
センターアイドル,Center Idol
イベントスタッフ,Event Staff
はるき＆プロデューサー,Haruki&Producer
とあるエンジニア,Certain Engineer
とある音楽ディレクター,Certain Music Director
とあるステージスタッフ,Certain Stage Staff
とあるボイストレーナー,Certain Vocal Trainer
出演者１,Cast 1
出演者２,Cast 2
にちか＆一同,Nichika&Everyone
出演者ら一同,Cast Members
クラブイベントの客１,Clubgoer 1
クラブイベントの客２,Clubgoer 2
クラブイベントの客３,Clubgoer 3
クラブイベントの客４,Clubgoer 4
クラブイベントの客５,Clubgoer 5
おすすめの投稿,Recommended Post
投稿へのコメント,Comment Below
とある業界関係者,Certain Industry Insider
引用コメント,Quoted Comment
とある録音技師,Certain Audio Engineer
とある芸能事務所社員,Certain Entertainment Agency Staff
にちか＆美琴＆ルカ,Nichika&Mikoto&Luca
総務課スタッフ,General Affairs Staff
レコード店スタッフ,Record Store Staff
代理店担当者,Agency Representative
公開録音MC1,Public Recording MC1
公開録音MC2,Public Recording MC2
ルカの母親,Luca's Mom
ドア越しのマネージャー,Manager Behind the Door
企画資料,Project Brief
同僚マネージャー,Fellow Manager
レコード会社ベテランD,Record Company Veteran D
美琴＆ルカ＆同期一同,Mikoto&Luca&Classmates
美琴＆ルカ,Mikoto&Luca
スクラップブック表紙,Scrapbook Cover
スポーツ紙,Sports Newspapers
週刊誌,Weekly Magazine
ギグ企画スタッフ,Gig Planning Staff
にちかのメモ,Nichika's Note
評論家,Critic
ルカのメッセージ,Luca's Message
にちかの父親,Nichika's Dad
にちかの母親,Nichika's Mom
SNS投稿へのリプライ,Reply to Post
七草弁護士,Lawyer Nanakusa
家族,Family
カフェの店員,Cafe Clerk
置かれたバッグのノート,Notebook in the Bag Left Behind
ノートの表紙,Notebook Cover
ノートの付箋,Sticky Note on Notebook
ステージスタッフ,Stage Staff
壁向こうのマネージャー,Manager on the Other Side
プレゼン番組の音声,Presentation Show's Voice
上級生,Senior Student
体育祭実行委員,Sports Festival Committee
生徒４,Student 4
教師１,Schoolteacher 1
教師２,Schoolteacher 2
演劇部部長,Drama Club President
体育祭アナウンス,Sports Festival Announce
家庭科部の生徒,Home Econs Club Student
生徒たちの声,Students' Voices
審判,Umpire
学年主任,Head Teacher of Year
