title,trans
【’19Xmas】占いの本,[19Xmas] Fortune-Telling Book
【’19Xmas】旅のガイドブック,[19Xmas] Travel Guidebook
【’19Xmas】星空の写真集,[19Xmas] Starry Sky Photobook
【’19Xmas】灯織・ヒーリングCD,[19Xmas] Hiori's Music CD
【風野 灯織】2020バレンタインデー,[Hiori] 2020 Valentine's Day
【’25VD】灯織・ボンボンチョコラ,['25VD] Hiori's Bonbon Chocolates
【'25VD】風野灯織とのひととき,['25VD] A Moment with Hiori
ケーキ,Cake
灯織へのプレゼント・ケーキ,Gift for Hiori・Cake
灯織へのプレゼント・ケーキ＋♥,Gift for Hiori・Cake＋♥
ジンジャーシロップ,Ginger Syrup
灯織へのプレゼント・ジンジャーシロップ,Gift for Hiori・Ginger Syrup
灯織へのプレゼント・ジンジャーシロップ＋♥,Gift for Hiori・Ginger Syrup＋♥
チョコレート,Chocolate
灯織へのプレゼント・チョコレート,Gift for Hiori・Chocolate
灯織へのプレゼント・チョコレート＋♥,Gift for Hiori・Chocolate＋♥
みかん大福,Mandarin Daifuku
灯織へのプレゼント・みかん大福,Gift for Hiori・Mandarin Daifuku
灯織へのプレゼント・みかん大福＋♥,Gift for Hiori・Mandarin Daifuku＋♥
冷凍チーズケーキ,Frozen Cheesecake
灯織へのプレゼント・冷凍チーズケーキ,Gift for Hiori・Frozen Cheesecake
灯織へのプレゼント・冷凍チーズケーキ＋♥,Gift for Hiori・Frozen Cheesecake＋♥
紅茶のクッキー,Tea Cookies
灯織へのプレゼント・紅茶のクッキー,Gift for Hiori・Tea Cookies
灯織へのプレゼント・紅茶のクッキー＋♥,Gift for Hiori・Tea Cookies＋♥
徹底した姿勢,Consistent approach
バランスに気を付けて,Mindful of balance
逆転する立場,Viewpoint reversal
足下にご用心,Watching your step
暖かさと……心の距離と……,Warmth and... the distance between hearts...
思い描くのは……？,What are you picturing...?
見えていますか,Can you see
落　ち　　　る,D   r    o    p
そして標となる,Finally become proof
どちらでもない,Neither one
どちらも,Maybe both
,
,
,
,
君のことを教えてほしい,I want to know about you
支えていきたい,I want to support you
幸福に満ちる,Full of happiness
かつて夢見た眩しい姿,The dazzling image I dreamed of
歩む先には理想の自分,My ideal self before me
備えあれば……？,If you're prepared...?
『楽しむ』ということ,The thing called 'enjoyment'
ご褒美はリポートの後で,The reward after the report
無邪気な結晶,Innocent crystallization
心のアルバムの隣に,Adjoining the heart's album
真乃と過ごす休日,A Day-Off Spent with Mano
もっと仲良くなりたいっ,I Want to Get Along Even Better
困難だって超えられる,Overcoming Hardships
めぐるのダンス教室,Meguru's Dance Lessons
にぎやかな日常,Lively Days
精一杯楽しむために,To enjoy as much as possible
忍耐と結果と,With perseverance and fruition
ひと時のおやすみ,Restful moment
夢見る少女のように,Like a dreaming girl
鐘が鳴るその時までは……,Until the bell tolls...
【実況】RPGのススメ Part.14,[Let's play] RPG Rally pt.14
振り返ればほら、,"Look back and you'll see,"
取りたい満点,The Perfect Score I Want
Q&A・トレイン ,Q&A Train
ミルクティーの体温,Warmth of Milk Tea
イルミネ間取引,Illumine to Illumine
オン,On
輝きはめまぐるしく,輝きはめまぐるしく
アイドルとして,As an Idol
無限に広がる未来への,無限に広がる未来への
大切、選べないから。,大切、選べないから。
これがわたしだから,これがわたしだから
『きんいろ』の,『きんいろ』の
後ろは振り向かない,後ろは振り向かない
たくさんの応援を力に変えて,たくさんの応援を力に変えて
『ほんとう』の,『ほんとう』の
【’19Xmas】フェイスタオル,[19Xmas] Face Towel
【’19Xmas】はちみつアソートセット,[19Xmas] Assorted Honey Set
【’19Xmas】パイントアイス,[19Xmas] Pint of Ice Cream
【’19Xmas】めぐる・ネクタイピン,[19Xmas] Meguru's Tie Pin
【八宮 めぐる】2020バレンタインデー,[Meguru] 2020 Valentine's Day
【’25VD】めぐる・チョコがけポップコーン,['25VD] Meguru's Chocolate-coated Popcorn
【'25VD】八宮めぐるとのひととき,['25VD] A Moment with Meguru
こんぺいとう,Konpeito
めぐるへのプレゼント・こんぺいとう,Gift for Meguru・Konpeito
めぐるへのプレゼント・こんぺいとう＋♥,Gift for Meguru・Konpeito＋♥
花のサブスクチケット,Flower Subscription Ticket
めぐるへのプレゼント・花のサブスクチケット,Gift for Meguru・Flower Subscription Ticket
めぐるへのプレゼント・花のサブスクチケット＋♥,Gift for Meguru・Flower Subscription Ticket＋♥
一緒にお茶,Tea Together
めぐるへのプレゼント・一緒にお茶,Gift for Meguru・Tea Together
めぐるへのプレゼント・一緒にお茶＋♥,Gift for Meguru・Tea Together＋♥
ポップコーン,Popcorn
めぐるへのプレゼント・ポップコーン,Gift for Meguru・Popcorn
めぐるへのプレゼント・ポップコーン＋♥,Gift for Meguru・Popcorn＋♥
クッキーアソート,Cookie Assortment
めぐるへのプレゼント・クッキーアソート,Gift for Meguru・Cookie Assortment
めぐるへのプレゼント・クッキーアソート＋♥,Gift for Meguru・Cookie Assortment＋♥
ネイルオイル,Nail Oil
めぐるへのプレゼント・ネイルオイル,Gift for Meguru・Nail Oil
めぐるへのプレゼント・ネイルオイル＋♥,Gift for Meguru・Nail Oil＋♥
リミットは日が沈むまで,The sunset is the limit
唇に、透明な歌,"On the lips, a transparent song"
ON:消失のクライシス,ON: Crisis of Disappearance
OFF:その甘さは時をかける,OFF: The Sweetness Takes Time
YOU:おやすみと星が瞬くように,YOU: Goodnight and Twinkling Stars
異邦の青、浮遊する,"Foreign Blue, Drifting"
同調の水、されど,"Sympathetic Water, Even So"
無重力のウテナ,Weightless Utena
めぐる、大活躍！,"Meguru, Spectacular Showing!"
止まらない着信音,Neverending Ringtone
仲直りの仕方,How to Reconcile
本当の自分と特別な人,True Self and a Special Person
きみのための翼,For Your Wings
ピーちゃんともお友達,Pii-chan and Friends
押してダメなら引いてみろ！,"If Pushing doesn't work, Pull!"
お友達になる方法,How To Befriend
似た者同士と花吹雪,The Pair and Flowers
春風フレンドシップ,Spring Breeze Friendship
パリッとしたい,I Want to Crisp Up
次の春を星たちと待つ,Wait for Next Spring With the Stars
空想トリップ,Fantasy Trip
憧憬プランニング,Wishful Planning
星空ステージ,Starry Stage
夢想スターダム,Dreamy Stardom
長崎生まれの無敵ガール,Unbeatable Nagasaki Girl
うちならできるたい！,I'm sayin' I can do it!
ひとりのステージ,Solo Stage
めげないハート,Unbending Heart
一歩先へ,One Step Ahead
ろまん、ど～ぞ♡,Have Some Romance♡
負けん,Ain't Gonna Lose
うちばい、月岡恋鐘ばい～！,"It's Me, Kogane Tsukioka～!"
宇宙、ど～ぞ♡,Have The Universe♡
283プロの無敵ガール,283Pro's Invincible Girl
うちなら平気ばい!,I'll be alright!
ひとりのオーディション,Solo Audition
みえないルート,The Unseen Path
もう一歩先へ,One Step Further
月岡恋鐘　(L'Antica),Kogane Tsukioka (L'Antica)
つきおか食堂の無敵ガール,Unbeatable Girl of Tsukioka's
お父ちゃん,Pa
ガラス玉と色褪せたポスター,Glass Beads and Faded Posters
船の着く、船の出る,"Ships Arrive, Ships Depart"
そいは、ばりすごかこと,That's Plenty Incredible
恋の岬に鐘が鳴る,Bells Ring on the Cape of Love
【’19Xmas】お菓子の入ったサンタブーツ,[19Xmas] Santa Boots Filled With Sweets
【’19Xmas】マグカップ,[19Xmas] Mug
【’19Xmas】恋鐘・マフラー,[19Xmas] Kogane's Scarf
【月岡 恋鐘】2020バレンタインデー,[Kogane] 2020 Valentine's Day
【’25VD】恋鐘・チョコがけいちご,['25VD] Kogane's Chocolate-coated Strawberries
【'25VD】月岡恋鐘とのひととき,['25VD] A Moment with Kogane
キャラメル,Caramel
恋鐘へのプレゼント・キャラメル,Gift for Kogane・Caramel
恋鐘へのプレゼント・キャラメル＋♥,Gift for Kogane・Caramel＋♥
長崎豚角煮まん,Nagasaki Pork Bun
恋鐘へのプレゼント・長崎豚角煮まん,Gift for Kogane・Nagasaki Pork Bun
恋鐘へのプレゼント・長崎豚角煮まん＋♥,Gift for Kogane・Nagasaki Pork Bun＋♥
スミレの砂糖漬け,Candied Violets
恋鐘へのプレゼント・スミレの砂糖漬け,Gift for Kogane・Candied Violets
恋鐘へのプレゼント・スミレの砂糖漬け＋♥,Gift for Kogane・Candied Violets＋♥
チョコレートボックス,Box of Chocolates
恋鐘へのプレゼント・チョコレートボックス,Gift for Kogane・Box of Chocolates
恋鐘へのプレゼント・チョコレートボックス＋♥,Gift for Kogane・Box of Chocolates＋♥
フルーツチップス,Fruit Chips
恋鐘へのプレゼント・フルーツチップス,Gift for Kogane・Fruit Chips
恋鐘へのプレゼント・フルーツチップス＋♥,Gift for Kogane・Fruit Chips＋♥
マカロン,Macaron
恋鐘へのプレゼント・マカロン,Gift for Kogane・Macaron
恋鐘へのプレゼント・マカロン＋♥,Gift for Kogane・Macaron＋♥
うちんすごか腕前,My Amazin' Skill
長崎よかとこ,Nagasaki's Great!
いつか帰る日,Someday I'll Return
Dまいなぁ～せぶん、の感じ～,Feels like D Minor～ Seven～
Gで～Aで～D～！！！,G→A→D！！！
『君』のところまで,"Until I Reach ""You"""
たどりつくところ,My destination
＿＿＿のところまで,Until I Reach ____
就任！　観光大使,Appointed! Tourism Ambassador
──を衣て故郷に帰る,──Returning Home in These Clothes
宇宙一のばりすごかアイドル,The Most Amazin' Idol in the Universe
止マレ～！,Stop～！
ススメ～！,Go～！
こいバラ、一輪,This single rose
す～って、5月,Breathing in May〜
猫のいない猫カフェ,A Catless Cat Café
スタジオ猫まみれ,A Studio Covered in Cats
猫とこたつとうちの気持ち,"A Cat, a Kotatsu, n' My Feelings"
My hidden heart,My hidden heart
満ち欠けマイペース,Waxing and Waning my pace
あまのじゃく,あまのじゃく
私に足りないもの,What I lack
たぶん大切だから,たぶん大切だから
暑苦しいヒト,That overenthusiastic person
その瞳が目指す場所,その瞳が目指す場所
My real heart,My real heart
まだまだ・モア,Always more
【’19Xmas】入浴剤,[19Xmas] Bath Salts
【’19Xmas】本,[19Xmas] Book
【’19Xmas】ボディクリーム,[19Xmas] Body Cream
【’19Xmas】摩美々・プリン,[19Xmas] Mamimi's Pudding
【田中 摩美々】2020バレンタインデー,[Mamimi] 2020 Valentine's Day
【’25VD】摩美々・昧のないガム,['25VD] Mamimi's Flavourless Gum
【'25VD】田中摩美々とのひととき,['25VD] A Moment with Mamimi
バスボム,Bath Bomb
摩美々へのプレゼント・バスボム,Gift for Mamimi・Bath Bomb
摩美々へのプレゼント・バスボム＋♥,Gift for Mamimi・Bath Bomb＋♥
タオル,Towel
摩美々へのプレゼント・タオル,Gift for Mamimi・Towel
摩美々へのプレゼント・タオル＋♥,Gift for Mamimi・Towel＋♥
キャンドル,Candles
摩美々へのプレゼント・キャンドル,Gift for Mamimi・Candles
摩美々へのプレゼント・キャンドル＋♥,Gift for Mamimi・Candles＋♥
フラワーギフト,Flower Gift
摩美々へのプレゼント・フラワーギフト,Gift for Mamimi・Flower Gift
摩美々へのプレゼント・フラワーギフト＋♥,Gift for Mamimi・Flower Gift＋♥
スペシャルチーズケーキ,Special Cheesecake
摩美々へのプレゼント・スペシャルチーズケーキ,Gift for Mamimi・Special Cheesecake
摩美々へのプレゼント・スペシャルチーズケーキ＋♥,Gift for Mamimi・Special Cheesecake＋♥
ホットアイマスク,Hot Eye Mask
摩美々へのプレゼント・ホットアイマスク,Gift for Mamimi・Hot Eye Mask
摩美々へのプレゼント・ホットアイマスク＋♥,Gift for Mamimi・Hot Eye Mask＋♥
コーディネート・チャンス,Coordination Chance
カラフル・ドール,Colorful Doll
ライク・ユー,Like You
マシ マシ,Oodles
まみみおきない,Mamimi Won't Wake Up
いざ、尋常に闇鍋,"Ready, Set, Potluck Hot Pot"
華麗なる少女,Resplendent Girl
彼女の魅力,Her charm
親愛なるファンへ,For my precious fans
努力と休養,Efforts and Rest
深まるアナタへの信頼,Faith in you rises
球体なる海に両手を広げ,球体なる海に両手を広げ
笑顔のために,笑顔のために
これからも隣で……,これからも隣で……
セントエルモの火を見上げ,セントエルモの火を見上げ
ひとりと戦うために,To Fight Alone
ただひとりの王子様,The Prince Alone
独り言,A Talk Alone
もう一人,Alone No More
独り言　あるいは会話,"A Talk Alone, a Conversation"
１と４,1 and 4
【’19Xmas】フォトフレーム,[19Xmas] Photo Frame
【’19Xmas】コーヒーカップ,[19Xmas] Coffee Mug
【’19Xmas】うさぎのぬいぐるみ,[19Xmas] Rabbit Plushie
【’19Xmas】咲耶・ネクタイ,[19Xmas] Sakuya's Necktie
【白瀬 咲耶】2020バレンタインデー,[Sakuya] 2020 Valentine's Day
【’25VD】咲耶・生キャラメル,['25VD] Sakuya's Pure Caramel
【'25VD】白瀬咲耶とのひととき,['25VD] A Moment with Sakuya
サントノーレ,St. Honoré Cake
咲耶へのプレゼント・サントノーレ,Gift for Sakuya・St. Honoré Cake
咲耶へのプレゼント・サントノーレ＋♥,Gift for Sakuya・St. Honoré Cake＋♥
ケーキと紅茶,Cake and Tea
咲耶へのプレゼント・ケーキと紅茶,Gift for Sakuya・Cake and Tea
咲耶へのプレゼント・ケーキと紅茶＋♥,Gift for Sakuya・Cake and Tea＋♥
一輪の花,A Single Flower
咲耶へのプレゼント・一輪の花,Gift for Sakuya・A Single Flower
咲耶へのプレゼント・一輪の花＋♥,Gift for Sakuya・A Single Flower＋♥
フィナンシェ,Financier Cake
咲耶へのプレゼント・フィナンシェ,Gift for Sakuya・Financier Cake
咲耶へのプレゼント・フィナンシェ＋♥,Gift for Sakuya・Financier Cake＋♥
バウムクーヘン,Baumkuchen
咲耶へのプレゼント・バウムクーヘン,Gift for Sakuya・Baumkuchen
咲耶へのプレゼント・バウムクーヘン＋♥,Gift for Sakuya・Baumkuchen＋♥
アロマワックスサシェ,Aroma Wax Sachet
咲耶へのプレゼント・アロマワックスサシェ,Gift for Sakuya・Aroma Wax Sachet
咲耶へのプレゼント・アロマワックスサシェ＋♥,Gift for Sakuya・Aroma Wax Sachet＋♥
例えばそんなパラレル・ワールド,Imagine a Parallel World
……なんて、昔話,"...Just an Old Story, That's All"
その道の先で待っている,Waiting at the End of the Road
例えばこんなパラレル・ワールド,Imagine This Parallel World
平行線上のスタッカート,Staccato Upon Parallel Lines
How do I look?,How do I look?
コウモリが飛び交う,Bats fluttering about
It’s spooky!,It's spooky!
ふと、目を細める,"Suddenly, I spy"
乙女,Young lady
光のしずくが落ちる場所,Where droplets of lights fall
そこは優しくてあたたかい場所,Where gentle warmth lies
鮮やかなる指先,Vibrant fingertips
小さな色どり,Little colors
欠けない思い出,Unwavering memories
表現の方法,The art of expression
とりとめのない幸せ,Incoherent Happiness
3ねん　しらせさくや,"sakuya shirase, 3rd year"
結果、人気の美容グッズでした,It Turned Out to be Popular Beauty Supplies
戯れハニー,Flirty Honey
天然ダーリン,Spontaneous Darling
かわいいひと,Cute Person
嚔のあいだ ,Between sneezes
いつか、すぐにも,"Someday, soon"
雨の中で光る原石,An unpolished gem shines in the rain. 
初めてはソツなく？,Flawless the first time?
ひらり、かわして,Light exchanges. 
湖の奥なんて知らなくていいのに,You don't need to know the bottom of the lake. 
ここからがスタート,We'll begin from here.
見つかったら負けという話,To be discovered is to lose. 
悔しさがあふれ出しても,Even if regrets overflow. 
覚めない夢のその先で,After the dream you don't wake up from.
そっと教えてあげましょう,Allow me to subtlely explain.
見つかったら負けという話,It's over when you're found
そっと教えてあげましょう,I'll let you in on a little secret
   の一番の宝石でありたい,I want to be the jewel _ treasure
その輝きを曇らすのは私？,Is it me who stifles my own glow?
優しい意地悪で砕けてしまいそう,Your tough love is breaking me
いつか、私も大事にするから,"Someday,  I'll see myself the way you do"
だって息をするように息が合う,Even our breaths fall naturally in sync
意地悪な感謝は知らん顔でね？,Don't get hung up on how I showed it
私の真ん中を知っている,Knowing the heart of me
どれも、そうなの,"Either way, that's how it is"
強引だよ、ばか,"Idiot, you overdid it"
背中,You got my back
ふたりで進みましょう,Let's move on together
ああ楽しい！,"Ooo, sounds like fun!"
道端の石と変わらない,Just another stone on the road
憧憧 ・脳内会議,Aspiring・Brain Conference
親近 (引いてはない、引いては) ,Closeness (Should I open up?)
根は真面目なんです,He's earnest at heart
ノックされたような気がした,It sounded like a knock on the door
【’19Xmas】プレゼント希望申請書,[19Xmas] Wish Gift Application
【’19Xmas】コンビニのケーキ,[19Xmas] Convenience Store Cake
【’19Xmas】お菓子付きのサンタのパペット,[19Xmas] Santa Puppet with Sweets
【’19Xmas】結華・クリスマスカード,[19Xmas] Yuika's Christmas Card
【三峰 結華】2020バレンタインデー,[Yuika] 2020 Valentine's Day
【’25VD】結華・コーヒービーンズチョコ,['25VD] Yuika's Chocolate Coffee Beans
【'25VD】三峰結華とのひととき,['25VD] A Moment with Yuika
ラスク,Rusk
結華へのプレゼント・ラスク,Gift for Yuika・Rusk
結華へのプレゼント・ラスク＋♥,Gift for Yuika・Rusk＋♥
手作り生チョコ,Handmade Fresh Chocolate
結華へのプレゼント・手作り生チョコ,Gift for Yuika・Handmade Fresh Chocolate
結華へのプレゼント・手作り生チョコ＋♥,Gift for Yuika・Handmade Fresh Chocolate＋♥
マカロンクッキー,Macaron Cookie
結華へのプレゼント・マカロンクッキー,Gift for Yuika・Macaron Cookie
結華へのプレゼント・マカロンクッキー＋♥,Gift for Yuika・Macaron Cookie＋♥
マフィン,Muffin
結華へのプレゼント・マフィン,Gift for Yuika・Muffin
結華へのプレゼント・マフィン＋♥,Gift for Yuika・Muffin＋♥
結華の好きなスイーツ,Yuika's Favorite Sweets
結華へのプレゼント・結華の好きなスイーツ,Gift for Yuika・Yuika's Favorite Sweets
結華へのプレゼント・結華の好きなスイーツ＋♥,Gift for Yuika・Yuika's Favorite Sweets＋♥
カヌレ,Canelé
結華へのプレゼント・カヌレ,Gift for Yuika・Canelé
結華へのプレゼント・カヌレ＋♥,Gift for Yuika・Canelé＋♥
七色メガネ,Rainbow glasses
隠したものに触れる人,The person who brings up what I hide
あの日、幸せが約束されたの,Happiness was promised on that day
はなまる飴模様,Hanamaru Candy Pattern
いつもより高く傘を持って,Holding the umbrella higher than usual
てるてる坊主がくるりと回る,The teru teru bozu twirls around
ねぇ、あなただけが知っていて,"Hey, you're the only one who knows"
The Q of ♡ はなぜここに？,Why is the Q of ♡ here?
水と器,Water and Vessel
ペルソナなんて笑っちゃう,This persona cracks me up
雨、リバイバル,Revival Rain
眩むほど,The extent of our daze
――くん。……ううん、――さん,"──kun. No, wait... ──san"
うたかたに潜る,Ephemeral glow beneath the depths
耳元で囁いてやればよかった,I should have whispered it in his ear
眩んでも,Even if it blinds us
よくある　ちょっと頑張った日,One of those days I push myself a bit harder
（空が）泣くなら,If (sk)I(es) were crying
私が歌い踊る限り,As long as I keep singing and dancing
暗闇は、目を開ける前のときめき,Darkness is the thrill before the eyes open
画面越しならゼロ距離,Zero distance through the screen
うらがえし,Switch It Up
走れば済むなら頑張りたいから,"If you can race, then finish in 1st Place"
ふたりだけの合図は、まだ,Without A Sign For Us Two
だから耳元で囁いたの,It's why I whispered it in his ear
交わる一方通行,Intersecting One-way Streets
ひらひらノスタルジー,Fluttering Nostalgia
多面リバース,Multi-facet Reverse
しあわせになれたら,If only I could stay happy
幸運が当たり前な幸運,Blessed without a doubt
先の話②,Plans for the future ②
♡コール,♡ Call
キズナニフレル,Touching the ties that bind
夢のようなうつつ,Like a lucid dream
概念 ,Concept
切らないって知ってるの,I know you won't cut me off
傘を持つ人,The one who holds the umbrella
傘よりこっち側,From the umbrella's side
傘の向こうへ向かう術,The way of going beyond the umbrella
今夜、幸せを約束して,"Tonight, promise me happiness"
私の薬指に指輪がはまる時,The moment when the ring fits my finger
自慢の担当アイドル,Your pride and joy idol
手に入れましょう、全部,"Take it all, every last one"
≠嘘 ≠本当,≠ lie ≠ truth
同室ABC,Sharing a single room ABC
翻弄上等,Class-A Emotional Play
夜酔いアクシデント,Drunken Night Accident
気にしすぎ,Overthinking
悔しいの割合のが高いかも,More frustrated than I realize
やりがいのある仕事,A rewarding job
ライトの向こう,Behind stage lights
それでも私は,"Even still, I am..."
大好きな人,My bestie
大好きな人の大好きな人,My bestie's bestie
自然体で、ただいま,"""I'm home"", as my natural self"
おかえりの前の秘密,"A secret before saying ""welcome home"""
今日はおやすみ、気にしいの私,"""Good night"" for today, to me, the worrywart"
深夜小旅行,Late Night Outing
星空天井バス,Bus Ride Under Starry Skies
帰路,Return Trip
焦,Set Ablazed
できるようになったこと,Things I'm able to do
まだ全部はできないこと,Things I can't do just yet
うぬぼれ交点,Self-absorbed connection
一目惚れは終点,A dazzling light ends its journey
すれ違って光と何かへ,"Towards the unknown, a light passes by"
包帯の女の子,Bandaged Girl
みえない献身,Unseen Goodwill
優しい失敗,A Gentle Misstep
マイステージ,My Stage
わたしのしるし,My Sign
おいのり,Prayer
誰か,Someone
あの日,That Day
ふねがでます,Sailing Away
ねずみさんととりさん,The Mouse and the Bird
ごうごうひびく,Roaring Echo
パン,Bread
相談,Consultation
お日さま,Mr. Sun
ふかふかでほかほかしたもの,Something Fluffy and Warm
きりちゃん,Kiri-chan
お勉強,Studying
霧子,Kiriko
アンティーカを知ってる,I know L'Antica
それはなあに,What is that?
心があるところ,Where the heart is
【’19Xmas】ポインセチア,[19Xmas] Poinsettia
【’19Xmas】赤と緑のシート,[19Xmas] Red and Green Sheets
【’19Xmas】折り紙の時計,[19Xmas] Origami Watch
【’19Xmas】霧子・アロマキャンドル,[19Xmas] Kiriko's Aroma Candle
【幽谷 霧子】2020バレンタインデー,[Kiriko] 2020 Valentine's Day
【’25VD】霧子・スイーツビュッフェ券,['25VD] Kiriko's Sweets Buffet Ticket
【'25VD】幽谷霧子とのひととき,['25VD] A Moment with Kiriko
溶けにくいホワイトチョコレート,Hard-to-melt White Chocolate
霧子へのプレゼント・溶けにくいホワイトチョコレート,Gift for Kiriko・Hard-to-melt White Chocolate
霧子へのプレゼント・溶けにくいホワイトチョコレート＋♥,Gift for Kiriko・Hard-to-melt White Chocolate＋♥
クッキー,Cookies
霧子へのプレゼント・クッキー,Gift for Kiriko・Cookies
霧子へのプレゼント・クッキー＋♥,Gift for Kiriko・Cookies＋♥
写真,Photograph
霧子へのプレゼント・写真,Gift for Kiriko・Photograph
霧子へのプレゼント・写真＋♥,Gift for Kiriko・Photograph＋♥
処分品,Disposal Items
霧子へのプレゼント・処分品,Gift for Kiriko・Disposal Items
霧子へのプレゼント・処分品＋♥,Gift for Kiriko・Disposal Items＋♥
♡いっぱい,Lots of ♡
霧子へのプレゼント・♡いっぱい,Gift for Kiriko・Lots of ♡
霧子へのプレゼント・♡いっぱい＋♥,Gift for Kiriko・Lots of ♡＋♥
ギフトアソートチョコ,Gift Assortment Chocolates
霧子へのプレゼント・ギフトアソートチョコ,Gift for Kiriko・Gift Assortment Chocolates
霧子へのプレゼント・ギフトアソートチョコ＋♥,Gift for Kiriko・Gift Assortment Chocolates＋♥
あめです,It's Raining
きこえる,I Can Hear
ねずみさんの一家,A House for Mice
ほしをひとまわり,One Orbit of a Star
糸とこえ,String and Voice
ゆらゆら,Flutter-Flutter～
な・つ・お・わ・ら・な・い,な・つ・お・わ・ら・な・い
みんみん,みんみん
かなかな,かなかな
おでこの空,Foreheads' Sky
熱がありました,Had a Fever
あのカーブの先,Beyond the curve
いつかこの風が吹いたら,If someday this wind blows
もしもし、あのね,もしもし、あのね
ほしかったの,ほしかったの
１０のつぎ,１０のつぎ
目指せ、ヒーロー！,Aiming as a Hero!
太陽のような存在,Shining Like the Sun
アイドルとヒーローと,Idols and Heroes
誰かにとって特別な,Special to Someone
憧れの存在,A Role Model
悔しさをバネに,Using That Frustration to Bounce Back
ヒーローアイドル大勝利！,The Hero Idol's Great Victory!
目覚めよ、かなたのツルギ！,"Wake Up, a Sword in the Distance!"
こなたのツルギ、再び眠れ！,"Your Sword, to Sleep Again!"
【’19Xmas】柴犬柄のミニトートバッグ,[19Xmas] Shiba Inu Mini Tote Bag
【’19Xmas】インスタントカメラ,[19Xmas] Instant Camera
【’19Xmas】フォトブックギフト券,[19Xmas] Photobook Gift Ticket
【’19Xmas】果穂・駄菓子詰め合わせ,[19Xmas] Kaho's Assorted Candy
【小宮 果穂】2020バレンタインデー,[Kaho] 2020 Valentine's Day
【’25VD】果穂・しょっぱいだがしセット,['25VD] Kaho's Salty Candy Set
【'25VD】小宮果穂とのひととき,['25VD] A Moment with Kaho
フィナンシェ,Financier Cake
果穂へのプレゼント・フィナンシェ,Gift for Kaho・Financier Cake
果穂へのプレゼント・フィナンシェ＋♥,Gift for Kaho・Financier Cake＋♥
エプロン,Apron
果穂へのプレゼント・エプロン,Gift for Kaho・Apron
果穂へのプレゼント・エプロン＋♥,Gift for Kaho・Apron＋♥
トゥンカロン,Ddungcaron
果穂へのプレゼント・トゥンカロン,Gift for Kaho・Ddungcaron
果穂へのプレゼント・トゥンカロン＋♥,Gift for Kaho・Ddungcaron＋♥
ケーキポップ,Cake Pop
果穂へのプレゼント・ケーキポップ,Gift for Kaho・Cake Pop
果穂へのプレゼント・ケーキポップ＋♥,Gift for Kaho・Cake Pop＋♥
カラフルなお菓子,Colorful Sweets
果穂へのプレゼント・カラフルなお菓子,Gift for Kaho・Colorful Sweets
果穂へのプレゼント・カラフルなお菓子＋♥,Gift for Kaho・Colorful Sweets＋♥
辛お菓子詰め合わせ,Assorted Spicy Snacks
果穂へのプレゼント・甘・辛お菓子詰め合わせ,Gift for Kaho・Assorted Spicy Snacks
果穂へのプレゼント・甘・辛お菓子詰め合わせ＋♥,Gift for Kaho・Assorted Spicy Snacks＋♥
子犬みたいな女の子,Puppy girl
小さな体に眠る熱,Heat sleeping in a small body
頼れる先生！,Reliable Teacher!
にぎやかごはん,Lively Lunch
リコーダーガール,Recorder Girl
夕焼けクッキー,Afterglow Cookies
色とりどりの日々,Multicolored Days
びしょ濡れ！？事務所は水の中,Drenched!? The Office is Underwater
ぴかぴか！お掃除大作戦,Sparkling! The Great Cleaning Operation
完璧！頼れる武器はお仕事手帳,Perfect! Your Reliable Weapon is a Work Notebook
声よ届け！勇気と元気が今ここに,Hear Your Voice! Courage and Energy are Now Here
シャボン玉、空へ,"Soap Bubbles, to the Sky"
君は誰かにとっての太陽,You Are Someone Else's Sunshine
ビーチグラスは食べれない！,Beach Glass Can't Be Eaten!
それはあの日君と見た色,That's the Color I Saw with You One Day
必聴！ヒミツのウラワザ３選,Must-Listen! 3 Secret Tricks
この５連は君のまごころ,These 5 Strands Are Your Sincerity
ヒーローはかっこいい！,Heroes are cool!
正義は勝つ,Justice prevails!
果穂はヒーロー！,Kaho is a hero!
放課後クライマックスレンジャー,HO-KA-GO Climax Rangers
前日譚,Prologue
後日譚,Epilogue
ハロー・スイート・チョコレート,Hello Sweet Chocolate
チョコレート迷宮,Chocolate Labyrinth
ビッグチャンスにご用心,Beware of the Big Opportunities
ビターorスイートor……？,Bitter or Sweet or...?
アクシデントとチョコアイドル,Accidental Chocolate Idol
幸せ溶かしてチョコレート！,Melting Happy Chocolate!
とけない甘い夢,A Sweet Dream I Can't Tell
ディア・マイ・チョコレート,Dear My Chocolate
チョコアイドルより愛を込めて！,Forever Being a Chocolate Idol!
【’19Xmas】食べられないチョコレート,[19Xmas] Inedible Chocolate
【’19Xmas】手作りのチョコレート,[19Xmas] Homemade Chocolate
【’19Xmas】限定のチョコレート,[19Xmas] Limited Edition Chocolate
【’19Xmas】智代子・特製のチョコレート,[19Xmas] Chiyoko's Special Chocolate
【園田 智代子】2020バレンタインデー,[Chiyoko] 2020 Valentine's Day
【’25VD】智代子・お揃いのチョコレート,['25VD] Chiyoko's Matching Chocolates
【'25VD】園田智代子とのひととき,['25VD] A Moment with Chiyoko
シュークリーム,Cream Puffs
智代子へのプレゼント・シュークリーム,Gift for Chiyoko・Cream Puffs
