text,trans,type
イルミネSR以上確定ガシャが引けるチケットです,イルミネSR以上確定ガシャが引けるチケットです,
アンティーカSR以上確定ガシャチケット,アンティーカSR以上確定ガシャチケット,
アンティーカSR以上確定ガシャが引けるチケットです,アンティーカSR以上確定ガシャが引けるチケットです,
放クラSR以上確定ガシャチケット,放クラSR以上確定ガシャチケット,
放クラSR以上確定ガシャが引けるチケットです,放クラSR以上確定ガシャが引けるチケットです,
アルストSR以上確定ガシャチケット,アルストSR以上確定ガシャチケット,
アルストSR以上確定ガシャが引けるチケットです,アルストSR以上確定ガシャが引けるチケットです,
初夏の晴れやか記念10連ガシャチケット,初夏の晴れやか記念10連ガシャチケット,
初夏の晴れやか記念10連ガシャが引けるチケットです,初夏の晴れやか記念10連ガシャが引けるチケットです,
初夏の晴れやか記念P-SRアイドル確定ガシャチケット,初夏の晴れやか記念P-SRアイドル確定ガシャチケット,
初夏の晴れやか記念P-SRアイドル確定ガシャが引けるチケットです,初夏の晴れやか記念P-SRアイドル確定ガシャが引けるチケットです,
SSR7％ガシャチケット,SSR7％ガシャチケット,
SSR7％ガシャが引けるチケットです,SSR7％ガシャが引けるチケットです,
SSR10％ガシャチケット,SSR10％ガシャチケット,
SSR10％ガシャが引けるチケットです,SSR10％ガシャが引けるチケットです,
SSR15％ガシャチケット,SSR15％ガシャチケット,
SSR15％ガシャが引けるチケットです,SSR15％ガシャが引けるチケットです,
1st Anniversary P-SRアイドル セレクションチケット,1st Anniversary P-SRアイドル セレクションチケット,
対象のSRプロデュースアイドルを選んで獲得できるチケットです,対象のSRプロデュースアイドルを選んで獲得できるチケットです,
[お1人様3個まで],[お1人様3個まで],limit
[お1人様1個まで],[お1人様1個まで],limit
[お1人様5つまで],[お1人様5つまで],limit
[月5個まで購入可能],[月5個まで購入可能],limit
[月10個まで購入可能],[月10個まで購入可能],limit
[月25個まで購入可能],[月25個まで購入可能],limit
[月100個まで購入可能],[月100個まで購入可能],limit
[月3個まで購入可能],[月3個まで購入可能],limit
[月1個まで購入可能],[月1個まで購入可能],limit
[お1人様5個まで],[お1人様5個まで],limit
[お1人様2つまで],[お1人様2つまで],limit
[お1人様3つまで],[お1人様3つまで],limit
[毎日1個まで購入可能],[毎日1個まで購入可能],limit
[毎日2個まで購入可能],[毎日2個まで購入可能],limit
[毎日3個まで購入可能],[毎日3個まで購入可能],limit
[毎日10個まで購入可能],[毎日10個まで購入可能],limit
