ja,en
最近はやりたいことがあっても\n無理しないようにしてるっす。ケガとかしたら\nプロデューサーさんに迷惑かけちゃうっすから,最近はやりたいことがあっても\n無理しないようにしてるっす。ケガとかしたら\nプロデューサーさんに迷惑かけちゃうっすから
鰯雲です……\nふふ……\nお腹が……鳴っております……,"The cirrocumulus clouds...
Fufu...
My stomach... is rumbling..."
──不甲斐ないです,──不甲斐ないです
お疲れさまっ、プロデューサー！　あのね、\n後でホットミルク作ろうと思うんだけど、一緒にどうかな？\nはちみつ入りなの！　すっごく元気が出るんだよーっ,お疲れさまっ、プロデューサー！　あのね、\n後でホットミルク作ろうと思うんだけど、一緒にどうかな？\nはちみつ入りなの！　すっごく元気が出るんだよーっ
夜の街は、眩しくて、暗いから……\n色んなこと、隠してくれたんです\nだからまみみは、夜に迷っていたのかも,夜の街は、眩しくて、暗いから……\n色んなこと、隠してくれたんです\nだからまみみは、夜に迷っていたのかも
普通にテレビ局入れたり、雑誌に載ったりさ\nいや、マジほんとヤバいよね！\nやっぱアイドルってすっごいわ！,普通にテレビ局入れたり、雑誌に載ったりさ\nいや、マジほんとヤバいよね！\nやっぱアイドルってすっごいわ！
あら、そもそも理由なんて\n必要かしら？\n戦って、勝ちたいことに,あら、そもそも理由なんて\n必要かしら？\n戦って、勝ちたいことに
あの……\nまたみんなで……頑張ります……！,あの……\nまたみんなで……頑張ります……！
ほんとにふゆが、すごいアイドルになれるのかなって……\nたまに、たまに、だけど、不安になるの\nでも、あんたはふゆをスカウトしてくれたから……信じたい,ほんとにふゆが、すごいアイドルになれるのかなって……\nたまに、たまに、だけど、不安になるの\nでも、あんたはふゆをスカウトしてくれたから……信じたい
お菓子でも、『同じかまのごはん』になりますか……？\nあたし、プロデューサーさんと一緒に\n駄菓子のヨーグルトを食べたいです！,お菓子でも、『同じかまのごはん』になりますか……？\nあたし、プロデューサーさんと一緒に\n駄菓子のヨーグルトを食べたいです！
プロデューサー、いつもありがとう！\n……えへへー！　こういうことをすぐに言えるのって、\nすっごく素敵なことだなって思ったんだ！　だからだよーっ,プロデューサー、いつもありがとう！\n……えへへー！　こういうことをすぐに言えるのって、\nすっごく素敵なことだなって思ったんだ！　だからだよーっ
甘奈ちゃんと、甜花ちゃんと……プロデューサーさんと\n私がこうしてここにいることは、運命なんだって\n思ってしまうのは……大げさでしょうか？,"To be able to be here with Amana-chan, Tenka-chan... 
and you, Producer-san... Would it be unreasonable 
to say that this feels like... fate?"
……あ……プロデューサーさん……おはよ……\n……おやすみなさい……\n……あと、５分だけ……,...Ah... Producer... Morning...\n...And good night...\n... Just 5 more minutes...
……！　よかった……\nちゃんとできてたんだ！,……！　よかった……\nちゃんとできてたんだ！
あ、あれ……！？\n──でも、足りないってわかったなら頑張るだけです……！,あ、あれ……！？\n──でも、足りないってわかったなら頑張るだけです……！
あたしは、もっともっとたくさんの人を笑顔にしたいです！\nでも、ひとりじゃぜんぜんパワーが足りません\nだから、プロデューサーさん、ずっと一緒に戦いましょう！,あたしは、もっともっとたくさんの人を笑顔にしたいです！\nでも、ひとりじゃぜんぜんパワーが足りません\nだから、プロデューサーさん、ずっと一緒に戦いましょう！
あともう少し……何が足りなかったんだろう……！,あともう少し……何が足りなかったんだろう……！
いい感じだわ、プロデューサー\nだけど、最高のパフォーマンスのためには\n適度な休息が不可欠よ。少し休憩しましょう！,いい感じだわ、プロデューサー\nだけど、最高のパフォーマンスのためには\n適度な休息が不可欠よ。少し休憩しましょう！
いえーい\nまぁこれくらいは、フツーですケドねー,いえーい\nまぁこれくらいは、フツーですケドねー
うち、結構いいとこいけたと思たばってん……\nまだまだレッスン頑張らんといかんねー,うち、結構いいとこいけたと思たばってん……\nまだまだレッスン頑張らんといかんねー
お疲れさまです、プロデューサーさんっ\nあの……鳩さんに会いに、公園へ行きませんか？\nプロデューサーさんと一緒にお散歩できたらうれしいですっ,お疲れさまです、プロデューサーさんっ\nあの……鳩さんに会いに、公園へ行きませんか？\nプロデューサーさんと一緒にお散歩できたらうれしいですっ
お疲れ様、プロデューサー\nアナタはいつも、私のために頑張ってくれるけれど……\nたまには、アナタのリラックスした顔も見たいな,お疲れ様、プロデューサー\nアナタはいつも、私のために頑張ってくれるけれど……\nたまには、アナタのリラックスした顔も見たいな
この間、コーヒーに挑戦してみたの\nやっぱり苦くて、あんまりたくさんは飲めなくって……\nそしたら灯織が代わってくれたんだ、えへへ,この間、コーヒーに挑戦してみたの\nやっぱり苦くて、あんまりたくさんは飲めなくって……\nそしたら灯織が代わってくれたんだ、えへへ
ね～ね～\n今、うれしか～？\nね～今～、ね～～プロデューサー！,ね～ね～\n今、うれしか～？\nね～今～、ね～～プロデューサー！
ウォント・ミー\n──捕まえられたらの\n話ですケド,ウォント・ミー\n──捕まえられたらの\n話ですケド
コデマリさんに……教えてあげましょう……\n夏のお話……\n空と……海が……おでこをくっつけるお話……,コデマリさんに……教えてあげましょう……\n夏のお話……\n空と……海が……おでこをくっつけるお話……
プロデューサー、マジサンキュね！\nプロデューサーがいなきゃ、うち、\nちょー苦労してたと思う！,プロデューサー、マジサンキュね！\nプロデューサーがいなきゃ、うち、\nちょー苦労してたと思う！
プロデューサー！\nいつからそこに……！,プロデューサー！\nいつからそこに……！
一生懸命がんばりましたが\n……もっともっと、できることが……,"I really tried my best...
but there was still more I could've done..."
全力で戦えました！\n次は合格できるように、もーっと頑張ります！,全力で戦えました！\n次は合格できるように、もーっと頑張ります！
日頃から食事には気を遣うようにしてます\n栄養のバランスが偏ると、活動にも影響しますからね\nプロデューサーも、気を付けた方がいいですよ,"I am considerate about what I eat regularly. If your\nnutrition is unbalanced, it'll affect your work too.\nProducer, you should be careful about it too."
甘奈、できたんだね……！\nえへへ……本当に、よかった……！,甘奈、できたんだね……！\nえへへ……本当に、よかった……！
甜花ね……いっぱい、いっぱい、頑張れた……\nだから……にへへ、いっぱい、嬉しい……,"Tenka... really, really, worked so hard...\nThat's why...Nihehe, she's really, happy..."
窓の外って色んな人が見えるから楽しいっすよね！\nプロデューサーさんも一緒にどっすか？,窓の外って色んな人が見えるから楽しいっすよね！\nプロデューサーさんも一緒にどっすか？
諦めるの……甜花、得意で、慣れてて……楽だけど……\nでも、好きじゃないし……\n諦めたくないことも、たまに……ある、かも……,"Giving up... Tenka used to it, and it's... quite easy...\nBut, it's not like Tenka likes it...\nSometimes, Tenka... doesn't want to give up..."
負けた……のかな……\nお、終わりたくないよ……！,負けた……のかな……\nお、終わりたくないよ……！
……、うそ、優勝？　私が……！？\n────よしっ……！,"...You're kidding? I won? Oh my god...!
────YESSS...!"
あとちょびっとだったんだけどな～……,あとちょびっとだったんだけどな～……
あと一歩でしたね……惜しかったです,あと一歩でしたね……惜しかったです
あの……私の話し方って、どう思いますか？\nちょっと、キツめというか、厳しい……ですよね\n直したいんですけど……どうしたらいいか……,"Um... What do you think of how I talk?\nIt's a bit harsh and strict, right...\nI want to fix it... but how should I..."
あー……\nうちが足引っ張んなきゃ完璧、だった系……？,あー……\nうちが足引っ張んなきゃ完璧、だった系……？
うちも……\nうちだって、負けてなかったもんね！,うちも……\nうちだって、負けてなかったもんね！
うちらの咆哮が\n世界を灯す──,うちらの咆哮が\n世界を灯す──
ここまでか……\nでも、ここへ来れてよかった,"This is as far as it goes, huh...?
But, I'm glad we made it here."
ふふ……次、がんばらなきゃ……,ふふ……次、がんばらなきゃ……
ふゆなんて、こんなものよ,ふゆなんて、こんなものよ
またみんなで来ようね！\nお仕事じゃなかったら、\nプロデューサーも遊べるでしょ？,またみんなで来ようね！\nお仕事じゃなかったら、\nプロデューサーも遊べるでしょ？
まだまだ……\n成すべきことが……あるのでしょう……,まだまだ……\n成すべきことが……あるのでしょう……
"Soon……It's coming out……\nTenka's favorite……popular series, new release……\nThat's why, today's work……Tenka'll do her best……！","Soon... It's coming out...\nTenka's favorite... popular series, new release...\nThat's why, today's work... Tenka will do her best...!"
トップアイドルを目指すなら、くじけていられないわね！,トップアイドルを目指すなら、くじけていられないわね！
ファンのみなさんの笑顔、とてもよく見えました\nきっと、感謝の気持ち、届きましたよね……！,ファンのみなさんの笑顔、とてもよく見えました\nきっと、感謝の気持ち、届きましたよね……！
プロデューサープロデューサー。余計なお世話かなーとは\n思うんだけどさ、根詰めすぎないようにね？\n……三峰だって、大事な人の心配ぐらいするんだから,プロデューサープロデューサー。余計なお世話かなーとは\n思うんだけどさ、根詰めすぎないようにね？\n……三峰だって、大事な人の心配ぐらいするんだから
ヤッバ！,Shoot!
今日は……秋のお話をしましょう……\nオジギソウのみなさんが……\n月に……お辞儀するお話……,今日は……秋のお話をしましょう……\nオジギソウのみなさんが……\n月に……お辞儀するお話……
合格できて嬉しい\nこれでまた１歩、トップアイドルへの道を進める,合格できて嬉しい\nこれでまた１歩、トップアイドルへの道を進める
手応えは、あったんだけど……\nまたレッスンしなくちゃ……,手応えは、あったんだけど……\nまたレッスンしなくちゃ……
目を閉じたら……\n甘～い夢、見られるかな？,目を閉じたら……\n甘～い夢、見られるかな？
んふふ～\n『うまか～』か『うれしか～』\nうちとおる時はどっちかやけん、約束～！,んふふ～\n『うまか～』か『うれしか～』\nうちとおる時はどっちかやけん、約束～！
……あと１歩だったのに……\nここまでの悔しさは……感じたことなかったな,……あと１歩だったのに……\nここまでの悔しさは……感じたことなかったな
……ふふ、悪い子の大勝利ですー,"...Fufu, a big win for a bad girl."
……へ？\n……えっと……ふ、ふゆが、一番、なの……？,……へ？\n……えっと……ふ、ふゆが、一番、なの……？
……楽しかった……\n……楽しかったって言ってんの！,……楽しかった……\n……楽しかったって言ってんの！
……次のためにも、今からもっとレッスンしますねっ,……次のためにも、今からもっとレッスンしますねっ
あと一歩届きませんでした…。次はもっと頑張ります！,あと一歩届きませんでした…。次はもっと頑張ります！
ありがとう……！\n最高の栄誉だわ！,ありがとう……！\n最高の栄誉だわ！
うぅ……,Aah...
え……\nもう、終わりなの……？,え……\nもう、終わりなの……？
えっへへー\nレッスンの成果、出てきてるね☆,えっへへー\nレッスンの成果、出てきてるね☆
ここまでこれただけでもヤバいけどさ\nやっぱ、優勝したかった……かな,ここまでこれただけでもヤバいけどさ\nやっぱ、優勝したかった……かな
この前のお休み、甜花ちゃんと一緒にお菓子作ったんだよ！\n上手にできたから、持ってきちゃった\nはい！　どーぞ☆　プロデューサーさん！　えへへ,この前のお休み、甜花ちゃんと一緒にお菓子作ったんだよ！\n上手にできたから、持ってきちゃった\nはい！　どーぞ☆　プロデューサーさん！　えへへ
これ……お姫様みたい……\nにへへ……甜花は、お布団の国の……お姫様……,"It's... just like a princess...\nNihehe...Tenka, is a princess... from the Bed Kingdom..."
とっても嬉しいですっ！\n本番でも、みんなを笑顔にしちゃいます♡,とっても嬉しいですっ！\n本番でも、みんなを笑顔にしちゃいます♡
なんだろう……\nこの、熱いの……胸、いっぱいなの……,なんだろう……\nこの、熱いの……胸、いっぱいなの……
ねぇねぇ、次の衣装のイメージって、決まってたりする！？\nもし、まだだったら、甘奈\nちょっと使ってみたいモチーフがあるんだよね！,ねぇねぇ、次の衣装のイメージって、決まってたりする！？\nもし、まだだったら、甘奈\nちょっと使ってみたいモチーフがあるんだよね！
ふゆより可愛いとか、歌が上手いとか、そんな子もいるかも\nでも……あんたはふゆのプロデューサーなんだから、\nよそ見してたら許さないんだからね！,ふゆより可愛いとか、歌が上手いとか、そんな子もいるかも\nでも……あんたはふゆのプロデューサーなんだから、\nよそ見してたら許さないんだからね！
まだまだ！,まだまだ！
もう１歩のところで……,もう１歩のところで……
やった……！　にへへ……甜花……勝ったんだよね……,Hooray...! Nihehe... Tenka... has won...
やったわね！　プロデューサー！\n私もアナタに負けていられないわ……\nうふふ、一緒にレベルアップしていきましょうね！,やったわね！　プロデューサー！\n私もアナタに負けていられないわ……\nうふふ、一緒にレベルアップしていきましょうね！
やったわ！\n本番も完璧なステージにするわよ！,やったわ！\n本番も完璧なステージにするわよ！
やったー！　褒めてもらえたよー！\n本番はもっともっと楽しいステージにしたいなー！,やったー！　褒めてもらえたよー！\n本番はもっともっと楽しいステージにしたいなー！
よ、よかった……っ\nみんなと力を合わせて……本番も──っ,よ、よかった……っ\nみんなと力を合わせて……本番も──っ
よかったぁ……！\nみんな、楽しんでくれたってことですよね……！,よかったぁ……！\nみんな、楽しんでくれたってことですよね……！
わぁ……ふふっ……\nみなさんに……ありがとう……,わぁ……ふふっ……\nみなさんに……ありがとう……
わたしたちが一番きらきらできたってこと……？\n……わーっ！　頑張ってよかったー！,わたしたちが一番きらきらできたってこと……？\n……わーっ！　頑張ってよかったー！
わたしたちだけの……秘密です……\nコデマリさんが……\n寂しがっていること……,わたしたちだけの……秘密です……\nコデマリさんが……\n寂しがっていること……
わたしと一緒に楽しいこと探すっす！,わたしと一緒に楽しいこと探すっす！
アイドルなんて、アタシのガラじゃない\n……けど、何かに向かってがむしゃらに突っ走るのは、\n結構好き……だと、思う,"It isn't like me to become an idol.
...But I like facing my goal and charging
headlong into it... I think."
プロデューサー、事務所でペット飼いませんかぁ？\n爬虫類がおすすめですよー\n可愛いし、エサの頻度も少ないし、何より可愛いのでー,プロデューサー、事務所でペット飼いませんかぁ？\n爬虫類がおすすめですよー\n可愛いし、エサの頻度も少ないし、何より可愛いのでー
プロデューサーさん、いつもふゆのこと見てくれて\nありがとうございます！\n……ふふっ、これからも、よろしくお願いします♡,プロデューサーさん、いつもふゆのこと見てくれて\nありがとうございます！\n……ふふっ、これからも、よろしくお願いします♡
プロデューサーに会うまでは……\n私には、足りないものも、できないことも\nなかったはずなんですよねー,"Until I met Producer,\nI was pretty sure I was perfect and could do anything～"
プロデューサー！　お願いがあるの！\n今から一緒にお茶とかどうかな！？\nわたし、もっとプロデューサーとお話がしたいんだ！,プロデューサー！　お願いがあるの！\n今から一緒にお茶とかどうかな！？\nわたし、もっとプロデューサーとお話がしたいんだ！
三峰のハートを温めてくれちゃ\nう優しい人は誰？　\n……ほら、教えてよ,三峰のハートを温めてくれちゃ\nう優しい人は誰？　\n……ほら、教えてよ
上手くできたっすね,上手くできたっすね
今ならきっと、歩き出せる気がする\nアタシは……前に進みたい,"Now that I'm here, I'm sure I can step past it.
I want to... keep moving forward."
今日もアナタと仕事ができたこと、とても光栄に思うよ\n明日も、明後日も、その先も……\nアナタの隣で、アイドルであり続けたい,今日もアナタと仕事ができたこと、とても光栄に思うよ\n明日も、明後日も、その先も……\nアナタの隣で、アイドルであり続けたい
全力を出せたので、悔いはありません\nでも……えへへ、ちょっとショックだなぁ……,全力を出せたので、悔いはありません\nでも……えへへ、ちょっとショックだなぁ……
客席にも、ステージにも、笑顔が溢れて……\n本当に、かけがえのない時間だったよ,客席にも、ステージにも、笑顔が溢れて……\n本当に、かけがえのない時間だったよ
残念だけれど、これが今の私の実力ってことね……,残念だけれど、これが今の私の実力ってことね……
決勝のステージ、立ちたかったな……,決勝のステージ、立ちたかったな……
甜花……頑張ったけど\nやっぱり……まだまだ、だね……,"Tenka... did her best but\nas expected... it's not enough, huh..."
真乃とめぐる……\nふたりと一緒なら\nどこまでだって！,Mano and Meguru...\nIf I'm with you two I can go anywhere!
私、ダメだったんですねー……,私、ダメだったんですねー……
風の鈴……\n心……燃えるような音……,"The wind chimes...
And my burning heart... are both making sounds..."
う、うれしい……！\nふふ……！,う、うれしい……！\nふふ……！
えぇ～、結構、イケてたと思ってたのに～\nま、あとで反省会すっか～,えぇ～、結構、イケてたと思ってたのに～\nま、あとで反省会すっか～
おっ、お疲れ～、プロデューサー\nうち、こんなカンジだけど、\nまーヨロシクね～,おっ、お疲れ～、プロデューサー\nうち、こんなカンジだけど、\nまーヨロシクね～
まだまだこんなものじゃない。もっと上を目指すわ！,まだまだこんなものじゃない。もっと上を目指すわ！
もとより、届かぬ、運命だったのでしょう……,もとより、届かぬ、運命だったのでしょう……
わあ……！\nえへへっ、あたしたちは最高で、ナンバーワン、です……！,わあ……！\nえへへっ、あたしたちは最高で、ナンバーワン、です……！
アンタにはいつも助けられてばっかで……その、悪い\n──え……お、お礼の方がいいとか言うな！　誰かを頼りに\nするとか……そういうの、あんまり慣れてねーんだよ……！,"I'm always relying on you for everything so... uh, my bad.
-Wha... D-don't tell me to thank you instead!
I'm not used to... like, counting on people or whatever...!"
プロデューサーさん、マメ丸と遊びませんか！？\nうちの家族はみーんな、マメ丸と遊ぶと元気になるんです！\nお散歩もあわせると、効果はもーっと上がります！,プロデューサーさん、マメ丸と遊びませんか！？\nうちの家族はみーんな、マメ丸と遊ぶと元気になるんです！\nお散歩もあわせると、効果はもーっと上がります！
放物線と……約束したの……\nいつか逆さになって\n空にさわろうって……,放物線と……約束したの……\nいつか逆さになって\n空にさわろうって……
白い……白い……コデマリさん……──\n病院に……咲いているんです……\n小さい頃から……ずっと一緒で……,白い……白い……コデマリさん……──\n病院に……咲いているんです……\n小さい頃から……ずっと一緒で……
私のこれからについて……\nアナタは、どんな未来図を描いているのかな\n未来の私は、アナタを笑顔にさせられているだろうか,私のこれからについて……\nアナタは、どんな未来図を描いているのかな\n未来の私は、アナタを笑顔にさせられているだろうか
連れていって……\n空の奥まで……二万マイル……──,連れていって……\n空の奥まで……二万マイル……──
──はっ！　プロデューサーさん……！？\n違うんです、これは決してつまみ食いとかではなくて、\n美味しいチョコに失礼をしないためのですね──！,──はっ！　プロデューサーさん……！？\n違うんです、これは決してつまみ食いとかではなくて、\n美味しいチョコに失礼をしないためのですね──！
『最上、最愛、最高潮！　団結力ナンバーワンッ！』\nえへへっ、あたしたちが出てきた時に言うんです！\nジャスティスＶみたいに、カッコよく登場するんですよ！,『最上、最愛、最高潮！　団結力ナンバーワンッ！』\nえへへっ、あたしたちが出てきた時に言うんです！\nジャスティスＶみたいに、カッコよく登場するんですよ！
いえ……わざわざ申し上げることでは……\n──桜が……咲いております……\nプロデューサーさま……,"No... I just wanted to say that...
The cherry blossoms... were blooming...
Producer-sama..."
え？　今、優勝って言った？　言ったよね？\nヤバい！　マジでどうしよ！？,"Eh? Did you say I won? Did you?
Seriously!? What should I do!?"
っ……！　……切り替え切り替えっ……！,っ……！　……切り替え切り替えっ……！
ふふふっ……\nみんなの……思い出……,ふふふっ……\nみんなの……思い出……
ほわっ、たくさん頑張ってよかったですっ,"Wow, I'm happy all my hard work paid off!"
わ……！　よかったです……\nわたしも……力になれてるのかなって……,わ……！　よかったです……\nわたしも……力になれてるのかなって……
アイドルになって、たくさん、たーっくさん！\n楽しいことや、わくわくすることが増えました！\nプロデューサーさんに、いっぱいいっぱいお話したいです！,アイドルになって、たくさん、たーっくさん！\n楽しいことや、わくわくすることが増えました！\nプロデューサーさんに、いっぱいいっぱいお話したいです！
アタシは何になれるのか、\nそれは、\nまだわかんねーけど──……,アタシは何になれるのか、\nそれは、\nまだわかんねーけど──……
チョコアイドル園田智代子！\nやみつきにさせてみせますよ！,チョコアイドル園田智代子！\nやみつきにさせてみせますよ！
プロデューサーさんが\n私を見つけてくれたんです,プロデューサーさんが\n私を見つけてくれたんです
前に進みたいって、\nもっと頑張ってみたいって思ったんだ,前に進みたいって、\nもっと頑張ってみたいって思ったんだ
次でラスト……よっし……やり切るわ！,Next is the last... okay... I'll finish this!
甘くて最高な私のステージ、\nもっともーっと届けたいです！,甘くて最高な私のステージ、\nもっともーっと届けたいです！
白いとこ……踏みながら……\n帰りましょう……,白いとこ……踏みながら……\n帰りましょう……
相手の人、スゴかったです……\nあたしも、もっともっと努力しないとですね！,相手の人、スゴかったです……\nあたしも、もっともっと努力しないとですね！
絵の具は様々な色が混ざると濁ってしまうのに\n世界は混ざりあうことでより美しくなるから不思議だね\n……私とアナタで、この世界をどのように彩れるのかな？,絵の具は様々な色が混ざると濁ってしまうのに\n世界は混ざりあうことでより美しくなるから不思議だね\n……私とアナタで、この世界をどのように彩れるのかな？
貴方さまを……お待ちして……\n額づいているのです……\n夕顔は……,"My dearest... wait for me...
I will kneel down...
And take the Moonflower..."
わーいっ！　また正義のアイドルに一歩前進ですっ！,わーいっ！　また正義のアイドルに一歩前進ですっ！
……あ……\n……そっか、ふゆ……負けちゃったんだ……,……あ……\n……そっか、ふゆ……負けちゃったんだ……
……もっと、やれることがあるはずですよね,……もっと、やれることがあるはずですよね
……負けちゃった……？　そんな……,……負けちゃった……？　そんな……
──……！　よーし、だったら……！\nまだまだ楽しんでもらっちゃいますよ……！,──……！　よーし、だったら……！\nまだまだ楽しんでもらっちゃいますよ……！
──ありゃ、気付かれちゃった\nお仕事中のＰたんの写真、\nゲット～って思ったのになぁ,──ありゃ、気付かれちゃった\nお仕事中のＰたんの写真、\nゲット～って思ったのになぁ
あ……あのっ、いつもご迷惑をおかけしちゃって\nすみません……っ\nこ、これからもよろしくお願いしますっ,あ……あのっ、いつもご迷惑をおかけしちゃって\nすみません……っ\nこ、これからもよろしくお願いしますっ
うひゃあっ,うひゃあっ
えへへっ！　やりました！\n本番は、もっともっとスッゴくなっちゃいます！,えへへっ！　やりました！\n本番は、もっともっとスッゴくなっちゃいます！
ここまでファンのみんなの\n声が聞こえるっすよ！,ここまでファンのみんなの\n声が聞こえるっすよ！
さぁ、\n盛り上げてくるっすよ～！,さぁ、\n盛り上げてくるっすよ～！
たくさんのキラキラ、\n集めるっす！,たくさんのキラキラ、\n集めるっす！
にへへ……ステージ、楽しかった……\nみんなも……おんなじだったら、いいな……,にへへ……ステージ、楽しかった……\nみんなも……おんなじだったら、いいな……
にへへ……\nでも、まだ中ボス……ラスボスが、待ってる……,にへへ……\nでも、まだ中ボス……ラスボスが、待ってる……
ねえ、ごはん食べ行くわよ！\n前に見つけたお店の、期間限定激辛……──何、その顔\nあんたなら、変な気遣い要らないでしょ？,ねえ、ごはん食べ行くわよ！\n前に見つけたお店の、期間限定激辛……──何、その顔\nあんたなら、変な気遣い要らないでしょ？
ふふー……\nまみみたちが揃えば、最強ですからねー,"Fufu～...\nWhen we're all together, nobody can beat us～"
ふふー、上々ですねー\nちょっとだけ楽しみになってきたかもー,ふふー、上々ですねー\nちょっとだけ楽しみになってきたかもー
ほわぁ……っ\nファンのみなさんから、たくさんの勇気を貰えたおかげです,ほわぁ……っ\nファンのみなさんから、たくさんの勇気を貰えたおかげです
めんどーじゃなければいいよー,めんどーじゃなければいいよー
やったわ、プロデューサー！　決勝進出よ！,やったわ、プロデューサー！　決勝進出よ！
やっ！,Oh!
よっしゃ……\nあ、え、えっと……えへへ、すっごく嬉しいです♡,よっしゃ……\nあ、え、えっと……えへへ、すっごく嬉しいです♡
よっしゃ！\n今回は作戦成功！　ってカンジ～？,Alright! Seems like our strategy was a success!
アイドルになってから、簡単にいかないこと\nばっかりで──ケド、諦めるなんて、ダサいから\n…………本当、大変ですよね,アイドルになってから、簡単にいかないこと\nばっかりで──ケド、諦めるなんて、ダサいから\n…………本当、大変ですよね
アイドルのこと……\n結局、わからないまま……,アイドルのこと……\n結局、わからないまま……
アンティーカのみんなとか、プロデューサーとか……\nこんなふうに、特定の誰かとずーっと一緒にいるのって\n今まであんまりなかった気がしますー,"Everyone from L'antica, Producer...\nIt's like I've been with you guys forever.\nI've never really felt like this before～"
チョコアイドルは一日にして成らず──\nプロデューサーさんっ！　これからも二人三脚で、\n一緒に頑張っていただけたら嬉しいです！,チョコアイドルは一日にして成らず──\nプロデューサーさんっ！　これからも二人三脚で、\n一緒に頑張っていただけたら嬉しいです！
ファンのみなさんに力をもらって、\nスッゴくいいステージができました！,ファンのみなさんに力をもらって、\nスッゴくいいステージができました！
プロデューサー、最近よーく三峰に声かけてくれるよねぇ\n……三峰のこと、そんなに知りたい？\nそっかそっかー。じゃあ、まだまだ頑張って構ってね！,プロデューサー、最近よーく三峰に声かけてくれるよねぇ\n……三峰のこと、そんなに知りたい？\nそっかそっかー。じゃあ、まだまだ頑張って構ってね！
プロデューサーさま……みなさまに……\n喜んでもらえるのでしたら……何よりです……,"If Producer-sama... and everyone else...\nIs pleased, then that is... excellent..."
プロデューサーさん、お疲れさま！\n甘奈のアイドルとしての日々は始まったばかりだけど\nこれからもよろしくねっ！,プロデューサーさん、お疲れさま！\n甘奈のアイドルとしての日々は始まったばかりだけど\nこれからもよろしくねっ！
プロデューサーさん、これからもわたしと一緒に\n楽しいことを探してほしいっす！,プロデューサーさん、これからもわたしと一緒に\n楽しいことを探してほしいっす！
プロデューサー！\n今日、うまか～とうれしか～\n何個あったと～？,プロデューサー！\n今日、うまか～とうれしか～\n何個あったと～？
マジか……！？\n……っ、アタシ、最高の気分だよ……！,For real!? ...I'm feeling great!
ヤバッ！,Dang!
優勝……？　本当に……？,I won...? Really...?
凛世の胸は、苦しいほどに、高鳴るのです……,凛世の胸は、苦しいほどに、高鳴るのです……
凛世は……もっと……\n世界を広げなければなりません……,凛世は……もっと……\n世界を広げなければなりません……
勢いに乗って\n飛んでいきましょうっ\n両手の星と……最後までっ,勢いに乗って\n飛んでいきましょうっ\n両手の星と……最後までっ
当たり前だけど、なんでもホイホイ\n写真撮ってるわけじゃないからね？,当たり前だけど、なんでもホイホイ\n写真撮ってるわけじゃないからね？
後少しだったのに……！　届かなかった……！,後少しだったのに……！　届かなかった……！
悪くないわ、プロデューサー\nでも……トップになるためにはまだまだよ！\n一秒だって無駄にはできないわ！,悪くないわ、プロデューサー\nでも……トップになるためにはまだまだよ！\n一秒だって無駄にはできないわ！
我は……\n自由のための……導火線なり……！,我は……\n自由のための……導火線なり……！
最近、自分の小さなことが気になっちゃうんです\nたとえば、前髪に変なクセがついてないかなぁとか\n……これって、アイドルになったからなんでしょうか？,"Lately, I've been worrying about the little things 
about myself, like whether there's a strange curl in
my bangs... Could this be because I've become an idol?"
棒のアイスと～あんまんやろ～？\nはんぶんこが、うれしかよ,棒のアイスと～あんまんやろ～？\nはんぶんこが、うれしかよ
楽しそうなことの基準っすか？\nそんなこと考えたこともなかったっす！\n見た瞬間にわかっちゃうっすよ！,楽しそうなことの基準っすか？\nそんなこと考えたこともなかったっす！\n見た瞬間にわかっちゃうっすよ！
波の音……\n耳をすますと聞こえてきます,波の音……\n耳をすますと聞こえてきます
甘奈、プリンすっごく好きなんだ～\nそれでね、この前めっちゃ美味しいの見つけたの！\n今度持ってくるから、一緒に食べよ？,甘奈、プリンすっごく好きなんだ～\nそれでね、この前めっちゃ美味しいの見つけたの！\n今度持ってくるから、一緒に食べよ？
結構いい線行けたと思ったのになー……\nよっし！　次はがんばらないとね！,結構いい線行けたと思ったのになー……\nよっし！　次はがんばらないとね！
１月16日生まれの山羊座、Ｏ型。出身地は──\nええ？　プロフィールに載ってない話が聞きたいの？\n……それはだぁめ。まだポイントが足りないんだなぁ,１月16日生まれの山羊座、Ｏ型。出身地は──\nええ？　プロフィールに載ってない話が聞きたいの？\n……それはだぁめ。まだポイントが足りないんだなぁ
あうぅっ,Aughh...
小鳥来る窓に……\n貴方さまを……お待ちしましょう……,"The window where the birds come and sit...
My dearest... I shall wait for you..."
よっしゃ！\n本番もこの感じで、ファンに届けねーとな！,よっしゃ！\n本番もこの感じで、ファンに届けねーとな！
くっ……まだ、足りない……！,くっ……まだ、足りない……！
プロデューサーは本当に……\n私のことを理解してくれてて\n……とても嬉しいです,Producer...\nYou really understand me.\n...I'm very happy about it.
この前のライブ、わたしが一番練習したとこで\n盛り上がりが最高潮になったんすよ！\n狙いがしっかり当たると嬉しいっすね！,この前のライブ、わたしが一番練習したとこで\n盛り上がりが最高潮になったんすよ！\n狙いがしっかり当たると嬉しいっすね！
やったぜ！　アタシたちと一緒に、\nファンも楽しんでくれたみたいだな！,やったぜ！　アタシたちと一緒に、\nファンも楽しんでくれたみたいだな！
ふぅ……なんか不思議たい……泣くほど悔しいのに\nちょっとすっきりもしてる……なんでやろね……,ふぅ……なんか不思議たい……泣くほど悔しいのに\nちょっとすっきりもしてる……なんでやろね……
