ja,zh
【期間限定】プロデュースを開始しよう,【期間限定】プロデュースを開始しよう
【期間限定】芹沢あさひのフェスアイドルを誕生させよう,【期間限定】芹沢あさひのフェスアイドルを誕生させよう
【期間限定】黛冬優子のフェスアイドルを誕生させよう,【期間限定】黛冬優子のフェスアイドルを誕生させよう
【期間限定】黛冬優子の思い出レベルを2にしよう,【期間限定】黛冬優子の思い出レベルを2にしよう
【期間限定】和泉愛依のフェスアイドルを誕生させよう,【期間限定】和泉愛依のフェスアイドルを誕生させよう
ファンを累計で1000人獲得しよう,ファンを累計で1000人獲得しよう
ファンを累計で1億人獲得しよう,ファンを累計で1億人獲得しよう
ファンを累計で10億人獲得しよう,ファンを累計で10億人獲得しよう
グレードLv2に昇格しよう,グレードLv2に昇格しよう
センターに風野灯織を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに風野灯織を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
「完全掌握」：全ての審査員からトップアピールを獲得する,「完全掌握」：全ての審査員からトップアピールを獲得する
完全掌握,完全掌握
風野灯織のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,風野灯織のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
【柔らかな微笑み】風野灯織のTrueEndを見よう,【柔らかな微笑み】風野灯織のTrueEndを見よう
【金色の元気いっぱいガール】八宮めぐるのTrueEndを見よう,【金色の元気いっぱいガール】八宮めぐるのTrueEndを見よう
【霧・音・燦・燦】幽谷霧子のTrueEndを見よう,【霧・音・燦・燦】幽谷霧子のTrueEndを見よう
【マメ丸と一緒！】小宮果穂のTrueEndを見よう,【マメ丸と一緒！】小宮果穂のTrueEndを見よう
【ラムネ色の覚悟】西城樹里のTrueEndを見よう,【ラムネ色の覚悟】西城樹里のTrueEndを見よう
【想ひいろは】杜野凛世のTrueEndを見よう,【想ひいろは】杜野凛世のTrueEndを見よう
【秘密のだらだらタイム】大崎甜花のTrueEndを見よう,【秘密のだらだらタイム】大崎甜花のTrueEndを見よう
風野灯織の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,風野灯織の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
フェスマスター,フェスマスター
風野灯織のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,風野灯織のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
フェスアイドルを2人誕生させよう,フェスアイドルを2人誕生させよう
フェスアイドルを4人誕生させよう,フェスアイドルを4人誕生させよう
ランクC以上のフェスアイドルを誕生させよう,ランクC以上のフェスアイドルを誕生させよう
ランクB以上のフェスアイドルを誕生させよう,ランクB以上のフェスアイドルを誕生させよう
ランクA以上のフェスアイドルを誕生させよう,ランクA以上のフェスアイドルを誕生させよう
シーズン4をクリアしよう,シーズン4をクリアしよう
フェスアイドルを16人誕生させよう,フェスアイドルを16人誕生させよう
フェスアイドルを283人誕生させよう,フェスアイドルを283人誕生させよう
W.I.N.G.決勝に進出しよう,W.I.N.G.決勝に進出しよう
W.I.N.G.を優勝しよう,W.I.N.G.を優勝しよう
芹沢あさひの「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,芹沢あさひの「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
芹沢あさひのユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,芹沢あさひのユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
黛冬優子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,黛冬優子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
黛冬優子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,黛冬優子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
和泉愛依の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,和泉愛依の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
和泉愛依のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,和泉愛依のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
杜野凛世の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,杜野凛世の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
杜野凛世のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,杜野凛世のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
八宮めぐるの「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,八宮めぐるの「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
八宮めぐるのユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,八宮めぐるのユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
月岡恋鐘の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,月岡恋鐘の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
月岡恋鐘のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,月岡恋鐘のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
白瀬咲耶の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,白瀬咲耶の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
白瀬咲耶のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,白瀬咲耶のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
幽谷霧子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,幽谷霧子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
幽谷霧子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,幽谷霧子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
園田智代子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,園田智代子の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
園田智代子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,園田智代子のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
有栖川夏葉の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,有栖川夏葉の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
有栖川夏葉のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,有栖川夏葉のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
大崎甘奈の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,大崎甘奈の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
大崎甘奈のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,大崎甘奈のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
田中摩美々の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,田中摩美々の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
田中摩美々のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,田中摩美々のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
大崎甜花の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,大崎甜花の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
大崎甜花のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,大崎甜花のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
桑山千雪の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,桑山千雪の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
桑山千雪のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,桑山千雪のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
小宮果穂の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,小宮果穂の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
小宮果穂のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,小宮果穂のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
西城樹里の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,西城樹里の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
西城樹里のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,西城樹里のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
三峰結華の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,三峰結華の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
三峰結華のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,三峰結華のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
櫻木真乃の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう,櫻木真乃の「伝説の一瞬」「完全掌握」「パーフェクトライブ」を全てクリアしよう
櫻木真乃のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証,櫻木真乃のユニットで、強力なライバルに対して\n「フェスマスター」を達成した証
センターに和泉愛依を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに和泉愛依を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する
伝説の一瞬,伝説の一瞬
和泉愛依のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,和泉愛依のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに和泉愛依を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに和泉愛依を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
和泉愛依のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,和泉愛依のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに和泉愛依を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに和泉愛依を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する
パーフェクトライブ,パーフェクトライブ
和泉愛依のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,和泉愛依のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに芹沢あさひを編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに芹沢あさひを編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
芹沢あさひのユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,芹沢あさひのユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに芹沢あさひを編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに芹沢あさひを編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
芹沢あさひのユニットで、強力なライバルに対して\n「完全掌握」を達成した証,芹沢あさひのユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに芹沢あさひを編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに芹沢あさひを編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
芹沢あさひのユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,芹沢あさひのユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに黛冬優子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに黛冬優子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
黛冬優子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,黛冬優子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに黛冬優子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに黛冬優子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
黛冬優子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,黛冬優子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに黛冬優子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに黛冬優子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
黛冬優子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,黛冬優子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに風野灯織を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに風野灯織を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
風野灯織のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,風野灯織のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに風野灯織を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに風野灯織を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
風野灯織のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,風野灯織のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに八宮めぐるを編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに八宮めぐるを編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
八宮めぐるのユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,八宮めぐるのユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに八宮めぐるを編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに八宮めぐるを編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
八宮めぐるのユニットで、強力なライバルに対して\n「完全掌握」を達成した証,八宮めぐるのユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに八宮めぐるを編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに八宮めぐるを編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
八宮めぐるのユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,八宮めぐるのユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに月岡恋鐘を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに月岡恋鐘を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
月岡恋鐘のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,月岡恋鐘のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに月岡恋鐘を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに月岡恋鐘を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
月岡恋鐘のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,月岡恋鐘のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに月岡恋鐘を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに月岡恋鐘を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
月岡恋鐘のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,月岡恋鐘のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに白瀬咲耶を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに白瀬咲耶を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
白瀬咲耶のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,白瀬咲耶のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに白瀬咲耶を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに白瀬咲耶を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
白瀬咲耶のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,白瀬咲耶のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに白瀬咲耶を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに白瀬咲耶を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
白瀬咲耶のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,白瀬咲耶のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに幽谷霧子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに幽谷霧子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
幽谷霧子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,幽谷霧子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに幽谷霧子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに幽谷霧子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
幽谷霧子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,幽谷霧子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに幽谷霧子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに幽谷霧子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
幽谷霧子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,幽谷霧子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに園田智代子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに園田智代子を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
園田智代子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,園田智代子のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに園田智代子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに園田智代子を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
園田智代子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,園田智代子のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに園田智代子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに園田智代子を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
園田智代子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,園田智代子のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに有栖川夏葉を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに有栖川夏葉を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
有栖川夏葉のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,有栖川夏葉のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに有栖川夏葉を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに有栖川夏葉を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
有栖川夏葉のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,有栖川夏葉のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに有栖川夏葉を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに有栖川夏葉を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
有栖川夏葉のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,有栖川夏葉のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに大崎甘奈を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに大崎甘奈を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
大崎甘奈のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,大崎甘奈のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに大崎甘奈を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに大崎甘奈を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
大崎甘奈のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,大崎甘奈のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに大崎甘奈を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに大崎甘奈を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
大崎甘奈のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,大崎甘奈のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに大崎甜花を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに大崎甜花を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
大崎甜花のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,大崎甜花のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに大崎甜花を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに大崎甜花を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
大崎甜花のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,大崎甜花のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに大崎甜花を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに大崎甜花を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
大崎甜花のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,大崎甜花のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに桑山千雪を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに桑山千雪を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
桑山千雪のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,桑山千雪のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに桑山千雪を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに桑山千雪を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
桑山千雪のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,桑山千雪のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに桑山千雪を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに桑山千雪を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
桑山千雪のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,桑山千雪のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに杜野凛世を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに杜野凛世を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
杜野凛世のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,杜野凛世のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに杜野凛世を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに杜野凛世を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
杜野凛世のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,杜野凛世のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに杜野凛世を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに杜野凛世を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
杜野凛世のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,杜野凛世のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに三峰結華を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに三峰結華を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
三峰結華のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,三峰結華のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに三峰結華を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに三峰結華を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
三峰結華のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,三峰結華のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに三峰結華を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに三峰結華を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
三峰結華のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,三峰結華のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに田中摩美々を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに田中摩美々を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
田中摩美々のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,田中摩美々のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに田中摩美々を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに田中摩美々を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
田中摩美々のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,田中摩美々のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに田中摩美々を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに田中摩美々を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
田中摩美々のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,田中摩美々のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに櫻木真乃を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに櫻木真乃を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
櫻木真乃のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,櫻木真乃のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに櫻木真乃を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに櫻木真乃を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
櫻木真乃のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,櫻木真乃のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに櫻木真乃を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに櫻木真乃を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
櫻木真乃のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,櫻木真乃のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
センターに小宮果穂を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう,センターに小宮果穂を編成して、Hard以上のフェスリハーサルに参加して「伝説の一瞬」を達成しよう
小宮果穂のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証,小宮果穂のユニットで、強力なライバルに対して\n「伝説の一瞬」を達成した証
センターに小宮果穂を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう,センターに小宮果穂を編成して、Hard以上のフェスリハーサルに参加して「完全掌握」を達成しよう
小宮果穂のユニットで、強力なライバルに対して\n「完全掌握」を達成した証,小宮果穂のユニットで、強力なライバルに対して\n「完全掌握」を達成した証
センターに小宮果穂を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう,センターに小宮果穂を編成しHard以上のフェスリハーサルに参加して「パーフェクトライブ」を達成しよう
小宮果穂のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証,小宮果穂のユニットで、強力なライバルに対して\n「パーフェクトライブ」を達成した証
