comment,trans
クールなイメージと優しさのギャップ,クールなイメージと優しさのギャップ
全国の名湯,全国の名湯
友達と遊ぶ、妹と弟と遊ぶ、自主練,友達と遊ぶ、妹と弟と遊ぶ、自主練
コメディ,コメディ
家の近くのカラオケ店,家の近くのカラオケ店
圧倒的パフォーマンス力,圧倒的パフォーマンス力
徹底した姿勢,徹底した姿勢
特になし,特になし
寝る、映画を見る,寝る、映画を見る
特になし,特になし
特になし,特になし
ノリのよさ,ノリのよさ
真面目なところ,真面目なところ
楽しそうなところ,楽しそうなところ
無香,無香
部屋でだらだら,部屋でだらだら
特になし,特になし
特になし,特になし
言語化できない,言語化できない
努力家なところ,努力家なところ
楽しんでいるところ,楽しんでいるところ
プレゼントでもらったカラフルなもの,プレゼントでもらったカラフルなもの
勉強,勉強
ハッピーエンド,ハッピーエンド
仕事で携わったスパ,仕事で携わったスパ
みんなを引っ張るところ,みんなを引っ張るところ
しっかりしているところ,しっかりしているところ
自分を持っているところ,自分を持っているところ
スイーツの形をしたもの,スイーツの形をしたもの
買い物、スイーツ店巡り,買い物、スイーツ店巡り
特になし,特になし
ショッピングモール,ショッピングモール
キラキラしているところ,キラキラしているところ
少し真面目なところ,少し真面目なところ
めげないところ,めげないところ
特になし,特になし
音楽鑑賞、練習,音楽鑑賞、練習
特になし,特になし
特になし,特になし
パフォーマンス,パフォーマンス
エプソムソルト,エプソムソルト
レッスン,レッスン
特になし,特になし
特になし,特になし
応援したくなる雰囲気,応援したくなる雰囲気
特になし,None in particular
レッスン,Lessons
特になし,None in particular
特になし,None in particular
顔,Her face
空気感,Her aura
寮にあるもの,Those at the dorm
はるきと遊ぶ,Hanging out with Haruki
特になし,None in particular
岡山県,Okayama
すごさ,Her qualities
しっかりしている,Her reliability
ティーツリーの香りのバスソルト,Tea tree scented ones
美術館やアートイベントに行く、買い物,"Art museums, art events, shopping"
児童文学、ファンタジー,児童文学、ファンタジー
街の灯りが一望できる場所,街の灯りが一望できる場所
研ぎ澄まされたパフォーマンス,Refined performance
無敵の笑顔,Unrivaled smile
アイドルになったきっかけ,How did you become an Idol?
チャームポイント,Charm Point
家族,Family
家族のこと,Family Dynamic
好きな食べ物,Favorite Food
苦手な食べ物,Disliked Food
アイドルになって驚いたこと,Something that surprised you after being an idol
居住形態,Residence
マイルール,Personal rule
座右の銘,Favorite saying
ライブ前にしていること,Pre-Live Habits
好きな動物,Favorite Animal
苦手な動物,Disliked Animal
日課,Daily Routine
最初の印象,First Impression
癖,Habit(s)
好きな季節,Favorite Season
苦手な季節,Disliked Season
昔の将来の夢,Childhood Dream
チャームポイントは？,Their Charm Point?
生まれ変わるなら何になりたい？,Who do you want to be if you were reincarnated?
起床時間,Wake-up time
就寝時間,Bedtime
好きな服,Favorite Clothes
動物に例えると？,What kind of Animal?
好きな入浴剤,Favorite Bath Salts
休日の過ごし方,Holiday Activities
好きな物語のジャンル,Fav Story Genre
おすすめスポット,Recommended Spot
アイドルとしての魅力は？,Their strong point as an idol?
